link_id,type,length,lanes_num,L,LT,T1,T2,T3,LTR,TR,R
917085,out,375,4,,,,,,,,
17144,in,246,2,,,5,5,,,,
17211,in,251,3,4,,5,,,,5,
917211,out,251,3,,,,,,,,
17287,in,256,3,,5,5,,,,5,
917413,out,255,3,,,,,,,,
40311,in,348,3,4,,,5,,,5,
940311,out,348,3,,,,,,,,
40310,in,301,2,,5,,,,,5,
940310,out,301,2,,,,,,,,
17717,in,481,3,,5,,5,,,5,
917717,out,481,3,,,,,,,,
17606,normal,81,1,,5,,,,,,
917606,normal,81,2,,5,,,,,5,
17714,normal,153,3,,5,5,5,,,,
917714,normal,153,3,,5,5,,,,5,
17827,normal,140,2,4,,,,,,,5
917827,normal,140,1,,,,,,5,,
17900,in,314,4,4,,5,5,,,5,
917900,out,313,4,,,,,,,,
917113,normal,138,3,,5,5,,,,5,
917112,normal,136,3,,,5,5,,,5,
917109,normal,143,3,,5,5,5,,,,
917108,normal,135,3,,,5,5,,,5,
17173,normal,136,2,,5,5,,,,,
17171,normal,134,2,,,5,,,,5,
17170,normal,145,2,,5,5,,,,,
17167,normal,145,2,,,5,,,,5,
17243,normal,134,2,4,,5,,,,,
917243,normal,134,3,4,,,5,,,,5
17242,normal,134,2,,,5,,,,5,
917242,normal,134,2,,,5,,,,5,
17239,normal,147,2,4,,5,,,,,
917239,normal,147,2,4,,5,,,,,
17238,normal,126,2,,,5,,,,5,
917238,normal,126,2,,,5,,,,,5
17336,normal,129,2,,5,5,5,,,,
17334,normal,143,2,,,5,5,,,5,
17333,normal,145,3,4,,5,5,5,,,
17330,normal,140,3,,,5,5,,,5,
917442,normal,130,3,,5,5,5,,,,5
917441,normal,144,3,,,5,5,5,,,5
917438,normal,161,3,,5,5,5,,,,
917437,normal,140,3,,,5,5,,,5,
17531,normal,130,2,,5,,,,,5,
917531,normal,130,2,,5,,,,,5,
17530,normal,140,2,,,5,,,,5,
917530,normal,140,2,,,5,,,,5,
17527,normal,148,2,,5,5,,,,,
917527,normal,148,2,,5,5,,,,,
17526,normal,130,2,,,5,,,,5,
917526,normal,130,2,,,5,,,,5,
17604,normal,120,1,,5,,,,,,
917604,normal,120,1,,,,,,,5,
17603,normal,161,2,,,5,,,,5,
17602,normal,145,2,,5,5,,,,,
17599,normal,139,2,,,5,,,,5,
17712,normal,118,3,,5,5,,,,5,
917712,normal,118,3,4,,5,5,,,5,
17710,normal,145,3,,5,,5,,,5,5
917710,normal,145,3,,5,5,,,,5,
17708,normal,131,3,,,5,5,5,,,
917708,normal,131,3,,5,5,,,,5,
17706,normal,131,4,,,5,5,5,,,5
917706,normal,131,3,,,5,5,5,,,
17825,normal,122,1,,,,,,5,,
917825,normal,122,1,,,,,,5,,
17823,normal,151,2,4,,,,,,,5
917823,normal,151,1,,,,,,5,,
17899,normal,141,3,,,5,5,,,,5
917899,normal,141,3,4,,,,,,,5
17898,normal,125,3,,,5,5,,,,5
917898,normal,125,3,4,,5,5,,,,
17896,normal,153,3,4,,5,,,,5,
917896,normal,153,3,4,,5,5,,,,
16938,in,243,2,,5,,,,,5,
916938,out,243,,,,,,,,,
17086,normal,190,3,4,,5,5,,,,
917086,normal,190,3,,5,5,,,,5,
17155,normal,137,3,,,5,5,,,5,
917155,normal,137,3,,,5,5,,,5,
17221,normal,128,3,,5,5,5,,,5,
917221,normal,128,3,,5,5,5,,,,
17302,normal,123,3,,,5,5,,,,5
917302,normal,123,3,,5,5,,,,5,
17421,normal,123,3,4,,5,5,,,,
917421,normal,123,3,4,,5,5,,,,
17515,normal,131,3,,5,5,,,,5,
917515,normal,131,3,,,5,5,,,5,
17592,normal,138,3,,5,5,,,,5,
917592,normal,138,3,,5,5,,,,5,
17716,normal,304,3,,5,5,,,,5,
917716,normal,304,3,,5,5,,,,5,
17718,normal,183,3,,,5,5,,,5,
917718,normal,183,3,,5,5,,,,5,
17861,normal,188,3,,5,5,,,,5,
917861,normal,188,3,4,,5,5,,,,
917989,in,188,3,,5,5,,,,5,
17989,out,200,,,,,,,,,
17035,normal,141,3,,,5,5,,,,5
917035,normal,141,4,4,,5,5,,,,5
17025,normal,146,3,4,,5,5,,,,
917025,normal,146,3,4,,5,5,,,,
17022,normal,140,2,,,,5,,,5,
917022,normal,140,2,,5,,,,,5,
17062,normal,124,3,4,,5,5,,,,
17114,normal,130,3,,,5,5,5,,,
17172,normal,122,3,,5,5,,,,5,
17244,normal,125,3,,,5,5,,,,5
