in,out,num
1,1,61
1,2,42
1,3,46
1,4,53
1,5,86
1,6,49
1,7,123
1,8,118
2,1,56
2,2,66
2,3,144
2,4,188
2,5,175
2,6,158
2,7,171
2,8,133
3,1,49
3,2,175
3,3,53
3,4,210
3,5,151
3,6,186
3,7,161
3,8,133
4,1,74
4,2,140
4,3,144
4,4,70
4,5,146
4,6,140
4,7,179
4,8,140
5,1,70
5,2,140
5,3,140
5,4,149
5,5,66
5,6,140
5,7,179
5,8,161
6,1,88
6,2,149
6,3,141
6,4,184
6,5,88
6,6,70
6,7,158
6,8,184
7,1,46
7,2,154
7,3,158
7,4,182
7,5,133
7,6,151
7,7,70
7,8,101
8,1,83
8,2,119
8,3,123
8,4,147
8,5,109
8,6,126
8,7,101
8,8,70
