link_id,length,num_of_lanes,min_speed,max_speed,jam_density,L,T1,T2,R
0,,2,5,45,220,0,0,0,0
1,,3,5,45,220,4,5,0,5
2,,2,5,45,220,0,0,0,0
3,,3,5,45,220,0,0,0,0
4,,3,5,45,220,4,5,0,4
5,,3,5,45,220,5,5,0,4
6,158.85,3,5,45,220,4,5,0,4
7,,5,5,45,220,0,5,0,0
8,158.85,1,5,45,220,5,0,0,0
9,,3,5,45,220,0,0,0,0
10,116.59,1,5,45,220,0,0,0,5
11,,5,5,45,220,0,5,0,0
12,116.59,2,5,45,220,0,5,0,5
13,,1,5,45,220,0,0,0,0
14,244.84,1,5,45,220,5,0,0,0
15,,3,5,45,220,5,5,0,4
16,244.84,2,5,45,220,0,5,0,5
17,,3,5,45,220,0,0,0,0
18,278.35,1,5,45,220,5,0,0,0
19,,3,5,45,220,4,5,0,4
20,278.35,2,5,45,220,0,5,0,4
21,852.69,1,5,45,220,5,0,0,0
22,271.11,2,5,45,220,4,5,0,0
23,852.69,3,5,45,220,4,5,0,5
24,271.11,2,5,45,220,0,5,0,5
25,852.37,2,5,45,220,5,0,0,5
26,122.46,1,5,45,220,5,0,0,0
27,839.89,1,5,45,220,0,5,0,0
28,122.46,2,5,45,220,4,5,0,0
29,839.89,1,5,45,220,0,5,0,0
30,141.48,2,5,45,220,0,5,0,4
31,845.37,3,5,45,220,4,5,0,5
32,141.48,1,5,45,220,5,0,0,0
33,845.37,2,5,45,220,4,0,0,4
34,,2,5,45,220,5,0,0,5
35,821.99,2,5,45,220,4,0,0,4
36,,2,5,45,220,4,0,0,5
37,820.88,3,5,45,220,4,5,0,5
38,432.99,2,5,45,220,4,0,0,5
39,825.37,1,5,45,220,0,5,0,0
40,432.99,1,5,45,220,0,0,0,5
41,825.37,1,5,45,220,0,5,0,0
42,,1,5,45,220,5,0,0,0
43,464.21,3,5,45,220,4,5,5,0
44,,1,5,45,220,0,0,0,0
45,464.21,3,5,45,220,4,5,0,5
46,,1,5,45,220,0,0,0,0
47,475.17,3,5,45,220,4,5,0,5
48,,1,5,45,220,0,5,0,0
49,475.17,2,5,45,220,4,0,0,4
50,275.43,1,5,45,220,0,5,0,0
51,,1,5,45,220,0,0,0,0
52,275.43,1,5,45,220,0,5,0,0
53,,1,5,45,220,0,0,0,5
54,255.04,1,5,45,220,0,5,0,0
55,,2,5,45,220,0,5,0,0
56,255.04,1,5,45,220,5,0,0,0
57,,2,5,45,220,4,0,0,5
58,282,1,5,45,220,0,0,0,5
59,288.6,2,5,45,220,0,5,0,5
60,282,1,5,45,220,0,5,0,0
61,288.6,2,5,45,220,0,5,0,5
62,272.83,2,5,45,220,4,0,0,5
63,175.1,2,5,45,220,5,5,0,0
64,272.83,1,5,45,220,0,5,0,0
65,175.1,3,5,45,220,4,5,5,0
66,135.74,2,5,45,220,0,5,5,0
67,465.07,3,5,45,220,4,5,0,5
68,135.74,2,5,45,220,4,5,0,0
69,465.07,3,5,45,220,4,5,0,5
70,134.09,1,5,45,220,0,0,0,5
71,478.32,3,5,45,220,4,5,0,5
72,134.09,3,5,45,220,4,5,0,5
73,478.32,3,5,45,220,0,5,5,5
74,,2,5,45,220,5,0,0,5
75,465.32,3,5,45,220,4,5,0,5
76,,2,5,45,220,5,0,0,5
77,465.32,3,5,45,220,4,5,0,5
78,431.47,1,5,45,220,0,5,0,0
79,480.31,3,5,45,220,4,5,5,0
80,431.47,1,5,45,220,0,5,0,0
81,480.31,3,5,45,220,4,5,0,5
82,,2,5,45,220,4,0,0,5
83,470.32,3,5,45,220,4,5,0,5
84,,2,5,45,220,0,0,0,0
85,470.32,3,5,45,220,4,5,0,5
86,432.82,1,5,45,220,0,5,0,0
87,670.03,3,5,45,220,4,5,0,5
88,432.82,2,5,45,220,5,0,0,5
89,670.03,2,5,45,220,0,5,0,5
90,,2,5,45,220,5,0,0,5
91,665.47,4,5,45,220,4,5,5,4
92,,1,5,45,220,0,0,0,0
93,665.47,3,5,45,220,4,5,0,5
94,,1,5,45,220,0,0,0,0
95,,2,5,45,220,5,0,0,5
96,,2,5,45,220,5,0,0,5
97,,1,5,45,220,0,0,0,0
98,435.82,2,5,45,220,5,0,0,5
99,,0,5,45,220,0,0,0,0
100,435.82,1,5,45,220,0,5,0,0
101,,0,5,45,220,0,0,0,0
102,,5,5,45,220,0,5,0,0
103,,1,5,45,220,0,0,0,0
104,,1,5,45,220,0,0,0,0
105,,3,5,45,220,4,5,0,5
106,419.97,1,5,45,220,0,5,0,0
107,,2,5,45,220,0,0,0,0
108,419.97,1,5,45,220,0,5,0,0
109,,3,5,45,220,4,5,0,5
110,,5,5,45,220,0,5,0,0
111,,2,5,45,220,0,0,0,0
112,,1,5,45,220,0,0,0,0
113,,3,5,45,220,4,5,0,5
114,,0,5,45,220,0,0,0,0
116,,0,5,45,220,0,0,0,0
118,,0,5,45,220,0,0,0,0
120,,0,5,45,220,0,0,0,0
122,,3,5,45,220,0,0,0,0
124,,4,5,45,220,4,5,5,5
126,,4,5,45,220,4,5,5,5
128,,4,5,45,220,4,5,5,5
130,436.11,4,5,45,220,4,5,5,5
132,436.11,4,5,45,220,4,5,5,5
134,,3,5,45,220,4,5,0,5
136,,2,5,45,220,0,0,0,0
