od pair,traffic volume,path,distance
8_10,82,15-40-44,432.99
8_10,,15-43-80-49-44,1370.85
8_11,85,15-40-47-84,908.16
8_11,,15-43-80-84,895.68
8_12,92,15-40-47-67-92,1373.23
8_12,,15-43-80-67-92,1360.75
8_12,,15-43-59-63-88-92,1360.73
8_13,120,15-40-47-67-75-104,1838.55
8_13,,15-43-80-67-75-104,1826.07
8_13,,15-43-59-63-88-75-104,1826.05
8_13,,15-43-59-63-71-100-104,1842.05
8_14,117,15-40-47-67-75-83-112,2308.87
8_14,,15-43-80-67-75-83-112,2296.39
8_14,,15-43-59-63-88-75-83-112,2296.37
8_14,,15-43-59-63-71-100-83-112,2312.37
8_14,,15-43-59-63-71-79-108-112,2306.51
8_15,92,15-40-47-67-75-83-91-136,2974.34
8_15,,15-43-80-67-75-83-91-136,2961.86
8_15,,15-43-59-63-88-75-83-91-136,2961.84
8_15,,15-43-59-63-71-100-83-91-136,2977.84
8_15,,15-43-59-63-71-79-108-91-136,2971.98
8_15,,15-43-59-63-71-79-87-132-136,2992.68
8_16,109,15-40-47-67-75-83-91-111,2974.34
8_16,,15-43-80-67-75-83-91-111,2961.86
8_16,,15-43-59-63-88-75-83-91-111,2961.84
8_16,,15-43-59-63-71-100-83-91-111,2977.84
8_16,,15-43-59-63-71-79-108-91-111,2971.98
8_16,,15-43-59-63-71-79-87-132-111,2992.68
8_17,108,15-43-59-63-71-79-87-107,2556.57
8_17,,15-40-47-67-75-83-91-130-107,3410.45
8_24,56,15-43-59-63-71-94,1406.23
8_24,,15-40-47-67-75-98-94,2270.25
8_26,30,15-43-59-74,752.81
8_26,,15-40-47-78-59-74,1610.32
8_27,110,15-43-59-63-71-79-87-126,2556.57
8_27,,15-40-47-67-75-83-91-130-107,3423.55
9_8,60,19-38-17,432.99
9_8,,19-47-78-45-17,1852.32
9_11,46,19-47-84,475.17
9_11,,19-38-43-80-84,1803.15
9_12,36,19-47-67-92,940.24
9_12,,19-38-43-59-63-88-92,2744
9_13,121,19-47-67-75-104,1405.56
9_13,,19-38-43-59-63-71-100-104,3677.12
9_14,,19-47-67-75-83-112,1875.88
9_14,110,19-38-43-59-63-71-79-108-112,4604.72
9_15,106,19-47-67-75-83-91-136,2541.35
9_15,,19-38-43-59-63-71-79-87-132-136,5948.7
9_16,86,19-47-67-75-83-91-111,2541.35
9_16,,19-38-43-59-63-71-79-87-132-111,5948.7
9_17,96,19-47-67-75-83-91-130-107,2977.46
9_17,,19-47-67-75-83-106-87-107,2965.88
9_17,,19-47-67-75-98-79-87-107,2991.72
9_17,,19-47-67-86-71-79-87-107,3001.72
9_17,,19-47-78-59-63-71-79-87-107,2999
9_17,,19-38-43-59-63-71-79-87-107,2989.56
9_24,30,19-47-67-75-98-94,1841.38
9_24,,19-47-67-86-71-94,1851.38
9_24,,19-47-78-59-63-71-94,1848.66
9_24,,19-38-43-59-63-71-94,1839.22
9_25,112,19-38-34,432.99
9_25,,19-47-78-45-17,1852.32
9_26,102,19-47-78-59-74,1195.24
9_26,,19-38-43-59-74,1185.8
9_27,120,19-47-67-75-83-91-130-126,2977.46
9_27,,19-47-67-75-83-106-87-126,2965.88
9_27,,19-47-67-75-98-79-87-126,2991.72
9_27,,19-47-67-86-71-79-87-126,3001.72
9_27,,19-47-78-59-63-71-79-87-126,2999
9_27,,19-38-43-59-63-71-79-87-126,2989.56
10_8,130,42-38-17,432.99
10_8,,42-47-78-45-17,1852.32
10_11,36,42-47-84,475.17
10_11,,42-38-43-80-84,1803.15
10_12,40,42-47-67-92,940.24
10_12,,42-38-43-59-63-88-92,2744
10_13,29,42-47-67-75-104,1405.56
10_13,,42-38-43-59-63-71-100-104,3677.12
10_14,56,42-47-67-75-83-112,1875.88
10_14,,42-38-43-59-63-71-79-108-112,4604.72
10_15,69,42-47-67-75-83-91-136,2541.35
10_15,,42-38-43-59-63-71-79-87-132-136,5948.7
10_16,32,42-47-67-75-83-91-111,2541.35
10_17,125,42-38-43-59-63-71-79-87-132-111,5948.7
10_17,,42-47-67-75-83-91-130-107,2977.46
10_17,,42-47-67-75-83-106-87-107,2965.88
10_17,,42-47-67-75-98-79-87-107,2991.72
10_17,,42-47-67-86-71-79-87-107,3001.72
10_17,,42-47-78-59-63-71-79-87-107,2999
10_17,,42-38-43-59-63-71-79-87-107,2989.56
10_24,42,42-47-67-75-98-94,1841.38
10_24,,42-47-67-86-71-94,1851.38
10_24,,42-47-78-59-63-71-94,1848.66
10_24,,42-38-43-59-63-71-94,1839.22
10_25,120,42-38-34,432.99
10_26,110,42-47-78-59-74,1195.24
10_26,,42-38-43-59-74,1185.8
10_27,135,42-47-67-75-83-91-130-126,2977.46
10_27,,42-47-67-75-83-106-87-126,2965.88
10_27,,42-47-67-75-98-79-87-126,2991.72
10_27,,42-47-67-86-71-79-87-126,3001.72
10_27,,42-47-78-59-63-71-79-87-126,2999
10_27,,42-38-43-59-63-71-79-87-126,2989.56
11_8,120,82-78-45-17,895.68
11_8,,82-49-38-17,908.16
11_10,36,82-49-44,475.17
11_10,,82-78-45-40-44,1328.67
11_12,21,82-67-92,465.07
11_12,,82-78-59-63-88-92,1327.99
11_13,21,82-67-75-104,930.39
11_13,,82-78-59-63-71-100-104,1809.31
11_14,32,82-67-75-83-112,1400.71
11_14,,82-78-59-63-71-79-108-112,2273.77
11_15,21,82-67-75-83-91-136,2066.18
11_15,,82-78-59-63-71-79-87-132-136,2959.94
11_16,34,82-67-75-83-91-111,2066.18
11_17,29,82-67-75-83-91-130-107,2502.29
11_17,,82-67-75-83-106-87-107,2490.71
11_17,,82-67-75-98-79-87-107,2516.55
11_17,,82-67-86-71-79-87-107,2526.55
11_17,,82-78-59-63-71-79-87-107,2523.83
11_24,33,82-67-75-98-94,1366.21
11_24,,82-67-86-71-94,1376.21
11_24,,82-78-59-63-71-94,1373.49
11_25,121,82-78-45-34,895.68
11_25,,82-49-38-34,908.16
11_26,133,82-78-59-74,720.07
11_26,,82-67-86-65-74,1072.99
11_27,131,82-67-75-83-91-130-126,2502.29
11_27,,82-67-75-83-106-87-126,2490.71
11_27,,82-67-75-98-79-87-126,2516.55
11_27,,82-67-86-71-79-87-126,2526.55
11_27,,82-78-59-63-71-79-87-126,2523.83
12_8,131,90-86-65-61-45-17,1360.73
12_8,,90-69-78-45-17,1360.75
12_8,,90-69-49-38-17,1373.23
12_10,42,90-69-49-44,940.24
12_10,,90-86-65-61-45-40-44,1793.72
12_11,32,90-69-84,465.07
12_13,23,90-75-104,465.32
12_13,,90-86-71-100-104,1346.96
12_14,32,90-75-83-112,935.64
12_14,,90-75-98-79-108-112,1775.58
12_15,52,90-75-83-91-136,1601.11
12_15,,90-86-71-79-87-132-136,2497.59
12_16,98,90-75-83-91-111,1601.11
12_16,,90-86-71-79-87-132-111,2497.59
12_17,112,90-75-83-91-130-107,2037.22
12_17,,90-75-83-106-87-107,2025.64
12_17,,90-75-98-79-87-107,2051.48
12_17,,90-86-71-79-87-107,2061.48
12_24,42,90-75-98-94,901.14
12_24,,90-86-71-94,911.14
12_25,131,90-86-65-61-45-34,1360.73
12_25,,90-69-78-45-34,1360.75
12_25,,90-69-49-38-34,1373.23
12_26,142,90-86-65-74,607.92
12_26,,90-69-78-59-74,1185.14
12_27,113,90-75-83-91-130-107,2037.22
12_27,,90-75-83-106-87-107,2025.64
12_27,,90-75-98-79-87-107,2051.48
12_27,,90-86-71-79-87-107,2061.48
13_8,142,102-98-73-65-61-45-17,1842.05
13_8,,102-77-86-65-61-45-17,1826.05
13_8,,102-77-69-78-45-17,1826.07
13_8,,102-77-69-49-38-17,1838.55
13_10,53,102-77-69-49-44,1405.56
13_10,,102-98-73-65-61-45-40-44,2275.04
13_11,12,102-77-69-84,930.39
13_11,,102-98-73-65-61-80-84,1809.31
13_12,32,102-77-92,465.32
13_12,,102-98-73-88-92,1346.96
13_14,15,102-83-112,470.32
13_14,,102-98-79-108-112,1336.1
13_15,,102-83-91-136,1135.79
13_15,,102-98-79-87-132-136,2022.27
13_16,24,102-83-91-111,1135.79
13_16,,102-98-79-87-132-111,2022.27
13_17,134,102-83-91-130-107,1571.9
13_17,,102-83-106-87-107,1560.32
13_17,,102-98-79-87-107,1586.16
13_24,36,102-98-94,435.82
13_24,,102-98-94,1396.44
13_24,,102-77-86-71-94,1376.46
13_25,132,102-98-73-65-61-45-34,1842.05
13_25,,102-77-86-65-61-45-34,1826.05
13_25,,102-77-69-78-45-34,1826.07
13_25,,102-77-69-49-38-34,1838.55
13_26,134,102-98-73-65-74,1089.24
13_26,,102-77-86-65-74,1073.24
13_27,113,102-83-91-130-126,1571.9
13_27,,102-83-106-87-126,1560.32
13_27,,102-98-79-87-126,1586.16
14_8,134,110-106-81-73-65-61-45-17,2306.51
14_8,,110-85-98-73-65-61-45-17,2312.37
14_8,,110-85-77-86-65-61-45-17,2296.37
14_8,,110-85-77-69-78-45-17,2296.39
14_8,,110-85-77-69-49-38-17,2308.87
14_10,43,110-85-77-69-49-44,1875.88
14_10,,110-106-81-73-65-61-45-40-44,2739.5
14_11,23,110-85-77-69-84,1400.71
14_11,,110-106-81-73-65-61-80-84,2273.77
14_12,53,110-85-77-92,935.64
14_12,,110-106-81-73-88-92,1811.42
14_13,32,110-85-104,470.32
14_13,,110-106-81-100-104,1336.1
14_15,14,110-91-136,665.47
14_15,,110-106-87-132-136,1526.11
14_16,35,110-91-111,665.47
14_16,,110-106-87-132-111,1526.11
14_17,92,110-91-130-107,1101.58
14_17,,110-106-87-107,1090
14_24,23,110-106-81-94,900.28
14_24,,110-85-98-94,906.14
14_25,86,110-106-81-73-65-61-45-34,2306.51
14_25,,110-85-98-73-65-61-45-34,2312.37
14_25,,110-85-77-86-65-61-45-34,2296.37
14_25,,110-85-77-69-78-45-34,2296.39
14_25,,110-85-77-69-49-38-34,2308.87
14_26,87,110-106-81-73-65-74,1553.7
14_26,,110-85-98-73-65-74,1559.56
14_26,,110-85-77-86-65-74,1543.56
14_27,106,110-91-130-126,1101.58
14_27,,110-106-87-126,1090
15_8,143,134-130-89-81-73-65-61-45-17,2992.68
15_8,,134-93-106-81-73-65-61-45-17,2971.98
15_8,,134-93-85-98-73-65-61-45-17,2977.84
15_8,,134-93-85-77-86-65-61-45-17,2961.84
