car_id,start_time,path
1,1512,17173-17171-17170-17168-17238-17235-17236-17327
2,234,17173-17172-17242-17239-17238-17235-17236-17327
3,2122,17173-17171-17170-17167-17166-17164-17236-17327
4,3288,17173-17171-17170-17168-17240-17330-17329-17327
5,2198,17173-17172-17242-17239-17240-17330-17329-17327
6,2866,17173-17172-17244-17334-17333-17330-17329-17327
7,500,917112-17114-17172-17242-17239-17240-17330-917328
8,3258,917112-17114-17172-17244-17334-17333-17330-917328
9,2098,917112-17114-17172-17242-917241-17170-17168-17240-17330-917328
10,3220,917112-17114-17172-17244-17334-917332-17239-17240-17330-917328
11,942,917112-17114-17172-917243-17302-17336-17334-17333-17330-917328
12,2565,917112-917113-17155-17173-17171-17170-17168-17240-17330-917328
13,736,17110-17168-17240-17330-917328
14,2613,17110-17168-17240-17331-17439-17526-917525-917436-917328
15,3427,17110-17168-17238-17235-17236-17327-917434-917436-917328
16,296,17110-17168-17240-17331-917438-917440-17333-17330-917328
17,1001,17110-17167-17166-17164-17236-17327-917434-917436-917328
18,3536,17110-17168-17240-17330-17329-17327-917434-917436-917328
19,1289,17170-17168-17240-17330-917328
20,3200,17170-17168-17240-17331-17439-17526-917525-917436-917328
21,2299,17170-17167-917165-917108-17110-17168-17240-17330-917328
22,3364,17170-17168-17238-17235-17236-17327-917434-917436-917328
23,2627,17170-17168-17240-17331-917438-917440-17333-17330-917328
24,454,17170-17167-17166-17164-17236-17327-917434-917436-917328
25,2143,917111-17025-17059-17110-17168-17238-17235-17236-17326-917324
26,2851,917111-17025-17059-17110-17167-17166-17164-17236-17326-917324
27,581,917111-17025-17059-17110-17168-17240-17330-17329-17326-917324
28,3198,917111-17025-17022-17021-17055-17106-17164-17236-17326-917324
29,2415,917111-17025-17059-17110-17168-17238-917237-17166-17164-17236-17326-917324
30,1134,917111-917035-17062-17114-17172-17242-17239-17238-17235-17236-17326-917324
31,21,917169-917111-17025-17059-17110-17168-17238-17235-17236-17326-917324
32,2174,917169-917112-17114-17172-17242-17239-17238-17235-17236-17326-917324
33,3502,917169-917111-17025-17059-17110-17167-17166-17164-17236-17326-917324
34,644,917169-917111-17025-17059-17110-17168-17240-17330-17329-17326-917324
35,1664,917169-917111-17025-17022-17021-17055-17106-17164-17236-17326-917324
36,3459,917169-917112-17114-17172-17242-17239-17240-17330-17329-17326-917324
37,1803,17244-17334-17333-17330-17329-17327-17435-17523-917546-917432
38,1164,17244-17334-17333-17330-17329-17326-17325-17323-917430-917432
39,1534,17244-17334-917332-17239-17238-17235-17236-17327-17435-17523-917546-917432
40,641,17244-17334-17333-17331-17439-17528-17599-917627-17522-17523-917546-917432
41,3451,17244-17376-17443-17530-17527-17528-17599-917627-17522-17523-917546-917432
42,2711,17244-17334-917332-17239-17238-17235-17236-17326-17325-17323-917430-917432
43,3083,17242-17239-17238-17235-17236-17326-17325
44,46,17242-17239-17240-17330-17329-17326-17325
45,194,17242-917241-17170-17168-17238-17235-17236-17326-17325
46,938,17242-17239-17238-917237-17166-17164-17236-17326-17325
47,1472,17242-917241-17170-17167-17166-17164-17236-17326-17325
48,2074,17242-917241-17170-17168-17240-17330-17329-17326-17325
49,3290,17110-17168-17238-17235-17236-17326
50,2749,17110-17167-17166-17164-17236-17326
51,3393,17110-17168-17240-17330-17329-17326
52,3122,17110-17168-17238-917237-17166-17164-17236-17326
53,3189,17110-17168-17240-17330-917328-17235-17236-17326
54,1515,16938-17035-17025-17059-17110-17167-17166-17163-17162-17159-17158-917183
55,2398,16938-17035-17025-17059-17110-17167-17166-17163-17162-17159-17158-917183
56,1823,16938-17035-17025-17022-17021-17055-17106-17163-17162-17159-17158-917183
57,550,16938-17035-17025-17022-17021-17055-17106-17163-17162-17159-17158-917183
58,714,16938-17035-17025-17022-17021-17018-17017-17049-17102-17159-17158-917183
59,115,16938-17035-17025-17022-17021-17018-17017-17049-17102-17159-17158-917183
60,1217,16938-917086-17035-17025-17059-17110-17167-17166-17163-17162-17159-17158-917183
61,1718,16938-917086-17035-17025-17059-17110-17167-17166-17163-17162-17159-17158-917183
62,2958,16938-917086-17035-17025-17022-17021-17055-17106-17163-17162-17159-17158-917183
63,1790,16938-917086-17035-17025-17022-17021-17055-17106-17163-17162-17159-17158-917183
64,319,16938-917086-17035-17025-17022-17021-17018-17017-17049-17102-17159-17158-917183
65,1601,16938-917086-17035-17025-17022-17021-17018-17017-17049-17102-17159-17158-917183
66,3102,16935-17022-17021-17018-17017-17014-17069
67,2130,16935-17022-17021-17018-17017-17014-17069
68,3446,16935-17059-17110-17167-17166-17163-17162-17159-917157-917099-17069
69,1991,16935-17059-17110-17167-17166-17163-17162-17159-917157-917099-17069
70,1521,16935-17059-17110-17167-17166-17163-917161-917103-17017-17014-17069
71,1888,16935-17059-17110-17167-17166-17163-917161-917103-17017-17014-17069
72,185,16935-17022-17021-17055-17106-17163-17162-17159-917157-917099-17069
73,1822,16935-17022-17021-17055-17106-17163-17162-17159-917157-917099-17069
74,178,16935-17059-17110-17167-917165-917107-17021-17018-17017-17014-17069
75,2218,16935-17059-17110-17167-917165-917107-17021-17018-17017-17014-17069
76,1998,16935-17022-17021-17018-17017-17049-17102-17159-917157-917099-17069
77,590,16935-17022-17021-17018-17017-17049-17102-17159-917157-917099-17069
78,2166,17238-917237-17166-17163-17162-17159-917157-917099-917014-916927
79,2300,17238-917237-17166-17163-17162-17159-917157-917099-917014-916927
80,564,17238-17235-17234-917233-17162-17159-917157-917099-917014-916927
81,2857,17238-17235-17234-917233-17162-17159-917157-917099-917014-916927
82,3085,17238-17235-17236-17326-17325-17322-917320-917157-917099-917014-916927
83,220,17238-17235-17236-17326-17325-17322-917320-917157-917099-917014-916927
84,969,17238-17235-17236-17326-917324-917233-17162-17159-917157-917099-917014-916927
85,1958,17238-17235-17236-17326-917324-917233-17162-17159-917157-917099-917014-916927
86,1707,17238-917237-17166-17164-17234-917233-17162-17159-917157-917099-917014-916927
87,341,17238-917237-17166-17164-17234-917233-17162-17159-917157-917099-917014-916927
88,1835,17238-17235-17234-17231-17232-17322-917320-917157-917099-917014-916927
89,1740,17238-17235-17234-17231-17232-17322-917320-917157-917099-917014-916927
90,1716,17062-17114-17172-17242-17239-17238-917237-17166-17163-17162-17159-17158-917183
91,131,17062-17114-17172-17242-17239-17238-917237-17166-17163-17162-17159-17158-917183
92,3524,17062-17114-17172-17242-17239-17238-17235-17234-917233-17162-17159-17158-917183
93,3065,17062-17114-17172-17242-17239-17238-17235-17234-917233-17162-17159-17158-917183
94,3463,17062-17114-17172-17242-917241-17170-17167-17166-17163-17162-17159-17158-917183
95,1951,17062-17114-17172-17242-917241-17170-17167-17166-17163-17162-17159-17158-917183
96,654,17062-917113-17155-17173-17171-17170-17167-17166-17163-17162-17159-17158-917183
97,201,17062-917113-17155-17173-17171-17170-17167-17166-17163-17162-17159-17158-917183
98,3201,17062-917113-917086-17035-17025-17059-17110-17167-17166-17163-17162-17159-17158-917183
99,3054,17062-917113-917086-17035-17025-17059-17110-17167-17166-17163-17162-17159-17158-917183
100,1832,17062-917113-917086-17035-17025-17022-17021-17055-17106-17163-17162-17159-17158-917183
101,2712,17062-917113-917086-17035-17025-17022-17021-17055-17106-17163-17162-17159-17158-917183
102,2427,17144-17173-17171-17170-17168-17238-17235-17236-17326-17325-17322-917320
103,2977,17144-17173-17171-17170-17168-17238-17235-17236-17326-17325-17322-917320
104,929,17144-17173-17172-17242-17239-17238-17235-17236-17326-17325-17322-917320
105,3105,17144-17173-17172-17242-17239-17238-17235-17236-17326-17325-17322-917320
106,115,17144-17173-17171-17170-17168-17238-17235-17234-17231-17232-17322-917320
107,79,17144-17173-17171-17170-17168-17238-17235-17234-17231-17232-17322-917320
108,1359,17144-17173-17171-17170-17167-17166-17163-17162-17160-17232-17322-917320
109,489,17144-17173-17171-17170-17167-17166-17163-17162-17160-17232-17322-917320
110,837,17144-17173-17171-17170-17167-17166-17164-17236-17326-17325-17322-917320
111,2167,17144-17173-17171-17170-17167-17166-17164-17236-17326-17325-17322-917320
112,3482,17144-17173-17171-17170-17168-17240-17330-17329-17326-17325-17322-917320
113,3543,17144-17173-17171-17170-17168-17240-17330-17329-17326-17325-17322-917320
114,2930,17211-17243-17242-17239-17238-17235-17236-17326-17325-17322-917320
115,2593,17211-17243-17242-17239-17238-17235-17236-17326-17325-17322-917320
116,468,17211-17302-17336-17334-17333-17330-17329-17326-17325-17322-917320
117,2883,17211-17302-17336-17334-17333-17330-17329-17326-17325-17322-917320
118,2504,17211-17243-17242-17239-17238-17235-17234-17231-17232-17322-917320
119,2326,17211-17243-17242-17239-17238-17235-17234-17231-17232-17322-917320
120,1534,17211-17243-17242-17239-17240-17330-17329-17326-17325-17322-917320
121,2417,17211-17243-17242-17239-17240-17330-17329-17326-17325-17322-917320
122,3397,17211-17243-17244-17334-17333-17330-17329-17326-17325-17322-917320
123,2954,17211-17243-17244-17334-17333-17330-17329-17326-17325-17322-917320
124,1684,17211-17243-17242-917241-17170-17168-17238-17235-17236-17326-17325-17322-917320
125,527,17025-17059-17110-17168-17238-17235-17236-17326-17325-17322-17321-17355-917471
126,3490,17025-17059-17110-17168-17238-17235-17236-17326-17325-17322-17321-17355-917471
127,3260,17025-17059-17110-17167-17166-17163-17162-17159-17158-17184-17355-917471
128,1182,17025-17059-17110-17167-17166-17163-17162-17159-17158-17184-17355-917471
129,2550,17025-17022-17021-17055-17106-17163-17162-17159-17158-17184-17355-917471
130,911,17025-17022-17021-17055-17106-17163-17162-17159-17158-17184-17355-917471
131,1186,17025-17022-17021-17018-17017-17049-17102-17159-17158-17184-17355-917471
132,286,17025-17022-17021-17018-17017-17049-17102-17159-17158-17184-17355-917471
133,908,17025-17059-17110-17168-17238-17235-17234-17231-17232-17322-17321-17355-917471
134,502,17025-17059-17110-17168-17238-17235-17234-17231-17232-17322-17321-17355-917471
135,3303,17025-17059-17110-17167-17166-17163-17162-17160-17232-17322-17321-17355-917471
136,183,17025-17059-17110-17167-17166-17163-17162-17160-17232-17322-17321-17355-917471
137,748,17167-17166-17163-17162-17159-917157-917100
138,3289,17167-17166-17163-17162-17159-917157-917100
139,1569,17167-17166-17164-17234-917233-17162-17159-917157-917100
140,2812,17167-17166-17164-17234-917233-17162-17159-917157-917100
141,1145,17167-17166-17163-17162-17160-17232-17322-917320-917157-917100
142,1592,17167-17166-17163-17162-17160-17232-17322-917320-917157-917100
143,952,17167-17166-17164-17236-17326-17325-17322-917320-917157-917100
144,1670,17167-17166-17164-17236-17326-17325-17322-917320-917157-917100
145,2579,17167-17166-17164-17236-17326-917324-917233-17162-17159-917157-917100
146,1404,17167-17166-17164-17236-17326-917324-917233-17162-17159-917157-917100
147,1250,17167-917165-917107-17021-17055-17106-17163-17162-17159-917157-917100
148,486,17167-917165-917107-17021-17055-17106-17163-17162-17159-917157-917100
149,3183,17144-17173-17171-17170-17167-17166-17163-17162-17159-17158-17181
150,1267,17144-17173-17171-17170-17167-17166-17163-17162-17159-17158-17181
151,2717,17144-17173-17171-17170-17168-17238-917237-17166-17163-17162-17159-17158-17181
152,1497,17144-17173-17172-17242-17239-17238-917237-17166-17163-17162-17159-17158-17181
153,680,17144-17173-17171-17170-17168-17238-17235-17234-917233-17162-17159-17158-17181
154,1121,17144-17173-17172-17242-17239-17238-17235-17234-917233-17162-17159-17158-17181
155,3492,17144-17173-17172-17242-917241-17170-17167-17166-17163-17162-17159-17158-17181
156,2383,16938-17062-17114-17172-17244-17376-17443-17532-17605-17713-17826-17896-17893-17890-17892
157,1191,16938-17062-17114-17172-17244-17376-17443-17532-17605-17713-17826-17896-17893-17890-17892
158,920,16938-17062-17114-17172-17244-17376-17443-17532-17605-17713-17823-17824-17893-17890-17892
159,760,16938-17062-17114-17172-17244-17376-17443-17532-17605-17713-17823-17824-17893-17890-17892
160,1927,16938-17062-17114-17172-17242-17239-17240-17331-17439-17528-17600-17706-17707-17895-17890-17892
161,2672,16938-17062-17114-17172-17244-17334-17333-17331-17439-17528-17600-17706-17707-17895-17890-17892
162,485,16938-17035-17025-17059-17110-17168-17240-17331-17439-17528-17600-17706-17707-17895-17890-17892
163,2729,16938-17062-17114-17172-17244-17376-17443-17530-17527-17528-17600-17706-17707-17895-17890-17892
164,82,17167-17166-17163-17162-17159-17158-17184-17355-17472-17541
165,3195,17167-17166-17163-17162-17159-17158-17184-17355-17472-17541
166,2113,17167-17166-17163-17162-17160-17232-17322-17321-17355-17472-17541
167,1059,17167-17166-17163-17162-17160-17232-17322-17321-17355-17472-17541
168,1298,17167-17166-17164-17236-17326-17325-17322-17321-17355-17472-17541
169,3198,17167-17166-17164-17236-17326-17325-17322-17321-17355-17472-17541
170,2367,17167-17166-17164-17234-17231-17232-17322-17321-17355-17472-17541
171,2420,17167-17166-17163-17162-17160-17232-17323-17431-17519-17543-17541
172,2439,17167-17166-17164-17236-17326-17325-17323-17431-17519-17543-17541
173,2873,17239-17240-17331-17439-17528-17600-17706-17707-17754-17751-17752-17891-17917
174,3121,17239-17240-17331-17439-17528-17600-17706-17707-17754-17751-17752-17891-17917
175,746,17239-17240-17331-17439-17528-17600-17706-17707-17754-17751-17748-17749-17780-17917
176,2771,17239-17240-17331-17439-17528-17600-17706-17707-17754-17751-17748-17749-17780-17917
177,40,17239-17238-17235-17236-17326-17325-17322-17321-17355-17472-17544-17655-17780-17917
178,1353,17239-17238-17235-17236-17326-17325-17322-17321-17355-17472-17544-17655-17780-17917
179,2048,17239-17238-17235-17236-17327-17435-17524-17625-17624-17622-17752-17891-17917
180,310,17239-17238-17235-17236-17327-17435-17524-17626-17754-17751-17752-17891-17917
181,1854,17239-17238-17235-17236-17327-17435-17524-17625-17624-17622-17748-17749-17780-17917
182,1983,17144-17173-17171-17170-17168-17238-17235-17236-17326-17325-17323-17431-17519
183,2525,17144-17173-17171-17170-17168-17238-17235-17236-17326-17325-17323-17431-17519
184,1217,17144-17173-17172-17242-17239-17238-17235-17236-17326-17325-17323-17431-17519
185,2685,17144-17173-17172-17242-17239-17238-17235-17236-17326-17325-17323-17431-17519
186,1885,17144-17173-17171-17170-17168-17238-17235-17234-17231-17232-17323-17431-17519
187,691,17144-17173-17171-17170-17167-17166-17163-17162-17160-17232-17323-17431-17519
188,637,17144-17173-17171-17170-17167-17166-17164-17236-17326-17325-17323-17431-17519
189,3037,17144-17173-17171-17170-17168-17240-17330-17329-17326-17325-17323-17431-17519
190,986,16935-17059-17110-17168-17238-17235-17236-17326-17325-17322-17321-17355-17472
191,3387,16935-17059-17110-17168-17238-17235-17236-17326-17325-17322-17321-17355-17472
192,3442,16935-17059-17110-17167-17166-17163-17162-17159-17158-17184-17355-17472
193,1497,16935-17059-17110-17167-17166-17163-17162-17159-17158-17184-17355-17472
194,1757,16935-17022-17021-17055-17106-17163-17162-17159-17158-17184-17355-17472
195,2978,16935-17022-17021-17018-17017-17049-17102-17159-17158-17184-17355-17472
196,1618,16935-17059-17110-17168-17238-17235-17234-17231-17232-17322-17321-17355-17472
197,1511,16935-17059-17110-17167-17166-17163-17162-17160-17232-17322-17321-17355-17472
198,3417,17242-17239-17238-17235-17236-17326-17325-17323-17431-17521
199,591,17242-17239-17238-17235-17236-17326-17325-17323-17431-17521
200,3209,17242-17239-17238-17235-17236-17327-17435-17523-17520-17521
201,2358,17242-17239-17238-17235-17236-17327-17435-17523-17520-17521
202,921,17242-17239-17238-17235-17234-17231-17232-17323-17431-17521
203,1385,17242-17239-17238-17235-17234-17231-17232-17323-17431-17521
204,22,17242-17239-17240-17330-17329-17326-17325-17323-17431-17521
205,1526,17242-17239-17240-17330-17329-17326-17325-17323-17431-17521
206,3102,17242-17239-17240-17330-17329-17327-17435-17523-17520-17521
207,880,17242-17239-17240-17330-17329-17327-17435-17523-17520-17521
208,1242,17242-17239-17238-17235-17236-17327-17435-17523-17520-917519-17521
209,900,17287-17421-17515-17592-17716-17718-17861-917900
210,532,17287-17421-17515-17592-17716-17718-17861-917900
211,2286,17287-17421-17515-17592-17606-17607-17715-917827-17861-917900
212,2216,17287-17421-17515-17592-17606-17607-17715-917827-17861-917900
213,2650,17287-17421-17515-17592-17606-17607-917714-17718-17861-917900
214,2716,17287-17421-17515-17592-17606-17607-917714-17718-17861-917900
215,1958,17287-17421-17515-17531-17532-17605-917712-17715-917827-17861-917900
216,1886,17287-17421-17515-17531-17532-17605-917712-17715-917827-17861-917900
217,3559,17287-17421-17515-17531-17532-17605-17713-917825-917827-17861-917900
218,1115,17287-17421-17515-17531-17532-17605-17713-917825-917827-17861-917900
219,264,17287-17336-17376-17443-17532-17605-917712-17715-917827-17861-917900
220,2574,17287-17336-17376-17443-17532-17605-917712-17715-917827-17861-917900
221,609,40310-17716-17718-17861-17989
222,3342,40310-17716-17718-17861-17989
223,1958,40310-17606-17607-17715-17828-917899-17989
224,2696,40310-17606-17607-17715-17828-917899-17989
225,853,40310-17606-17607-17715-917827-17861-17989
226,3257,40310-17606-17607-17715-917827-17861-17989
227,1359,40310-17606-17607-917714-17718-17861-17989
228,3348,40310-17606-17607-917714-17718-17861-17989
229,2325,40310-17716-17718-17827-17828-917899-17989
230,3067,40310-17716-17718-17827-17828-917899-17989
231,2228,40310-17716-17714-17715-17828-917899-17989
232,197,40310-17716-17714-17715-17828-917899-17989
233,2840,917530-17532-17605-917712-17715-917827-17861-917900
234,614,917530-17532-17605-917712-17715-917827-17861-917900
235,692,917530-17532-17605-17713-917825-917827-17861-917900
236,1352,917530-17532-17605-17713-917825-917827-17861-917900
237,2352,917530-17532-17605-917712-917714-17718-17861-917900
238,2627,917530-17532-17605-917712-917714-17718-17861-917900
239,1179,917530-917531-17592-17716-17718-17861-917900
240,257,917530-917531-17592-17716-17718-17861-917900
241,1773,917530-917531-17592-17606-17607-17715-917827-17861-917900
242,3448,917530-917531-17592-17606-17607-17715-917827-17861-917900
243,2873,917530-917531-17592-17606-17607-917714-17718-17861-917900
244,2840,917530-917531-17592-17606-17607-917714-17718-17861-917900
245,3144,17439-17528-17600-917708-917710-917712-17715-917827-17861-917900
246,83,17439-17528-17600-917708-917710-917712-17715-917827-17861-917900
247,2480,17439-17528-17600-917708-917710-17713-917825-917827-17861-917900
248,2661,17439-17528-17600-917708-917710-17713-917825-917827-17861-917900
249,1821,17439-17528-17600-917708-17711-917823-917825-917827-17861-917900
250,2139,17439-17528-17600-917708-17711-917823-917825-917827-17861-917900
251,139,17439-17528-17600-917708-917710-917712-917714-17718-17861-917900
252,3521,17439-17528-17600-917708-917710-917712-917714-17718-17861-917900
253,2336,17439-917527-917530-17532-17605-917712-17715-917827-17861-917900
254,2077,17439-917527-917530-17532-17605-917712-17715-917827-17861-917900
255,1791,17439-917527-917530-17532-17605-17713-917825-917827-17861-917900
256,774,17439-917527-917530-17532-17605-17713-917825-917827-17861-917900
257,2298,40311-17592-17606-17607-17715-917827-917718
258,2951,40311-17592-17606-17607-17715-917827-917718
259,361,40311-17531-17532-17605-917712-17715-917827-917718
260,504,40311-17531-17532-17605-917712-17715-917827-917718
261,1146,40311-17531-17532-17605-17713-917825-917827-917718
262,2571,40311-17531-17532-17605-17713-917825-917827-917718
263,2191,40311-17592-17716-17714-17715-917827-917718
264,1776,40311-17592-17716-17714-17715-917827-917718
265,3031,40311-17592-17606-17604-17605-917712-17715-917827-917718
266,3014,40311-17592-17606-17604-17605-917712-17715-917827-917718
267,1042,40311-17592-17606-17607-17712-17713-917825-917827-917718
268,2842,40311-17592-17606-17607-17712-17713-917825-917827-917718
