17748:0,0,2,3,2,4,7,5,5,6,3,2,7,8,6,8,7,5,10,3,7,7,7,3,2,4,13,6,4,9,6,7,7,4,6,6,4,0,10,6,5,2,6,5,3,4,3,2,4,4,6,3,9,1,5,5,9,6,5,2,4,5,2,5,2,2,0,0,1,1,0,0,1,1,0,2,0,0,2,0,0,0,0,1,1,1,1,0,3,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917515:0,0,1,3,3,3,7,3,5,2,2,3,6,4,3,4,2,1,4,3,6,1,7,4,2,3,3,3,5,6,6,1,4,1,6,1,4,2,3,5,2,9,1,7,2,7,11,1,5,4,4,2,2,3,5,3,3,4,2,6,5,4,5,3,3,0,1,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,4,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,2,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0
17421:0,0,1,2,2,2,0,2,2,1,0,2,3,1,1,2,1,0,5,4,2,6,2,3,5,4,1,2,6,2,4,3,2,5,1,4,3,4,1,5,3,2,0,2,3,3,3,2,1,2,5,2,4,4,1,2,0,5,3,2,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917099:0,0,1,3,2,7,8,6,9,7,10,10,6,2,9,13,5,7,10,11,6,9,9,7,6,2,11,9,15,4,7,8,11,6,13,10,8,3,8,10,7,10,6,11,5,12,11,5,6,7,9,6,4,9,5,4,7,10,8,5,10,8,4,6,9,2,2,0,0,2,1,1,2,2,0,4,0,1,1,2,1,0,1,1,0,0,3,1,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917520:0,0,3,3,3,9,5,1,3,2,9,5,8,9,6,8,9,9,9,4,6,4,4,5,4,5,5,7,3,3,7,2,2,5,10,5,8,2,8,8,9,4,4,6,9,3,5,5,10,4,4,3,11,6,8,9,2,9,1,7,8,8,1,3,0,0,0,1,0,0,2,0,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17752:0,0,0,1,1,0,3,5,4,8,5,1,4,1,3,5,1,2,5,2,4,6,3,6,4,2,6,7,6,1,1,4,6,1,5,1,2,3,5,6,3,1,4,5,4,2,3,1,5,0,6,7,5,1,5,3,4,0,5,1,7,6,2,2,2,0,2,1,1,3,3,0,0,0,0,1,1,1,0,1,2,0,0,2,0,2,2,1,0,0,4,0,0,0,0,1,1,4,0,0,0,0,1,2,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
917522:0,0,3,13,18,18,26,16,18,17,14,18,18,16,17,17,19,12,20,14,15,16,12,19,18,16,17,18,13,18,11,6,21,16,16,18,17,15,13,15,17,9,14,20,16,20,12,11,15,16,14,15,12,17,16,17,14,13,15,19,13,17,14,15,13,13,11,11,9,10,11,11,12,14,13,13,12,13,11,10,12,12,12,11,15,12,12,13,11,12,14,13,13,12,11,11,13,10,9,14,14,13,13,11,11,9,9,10,8,13,13,14,12,11,10,10,10,10,13,12,14,12,14,11,10,11,9,9,11,12,13,13,10,9,10,10,9,11,12,12,12,13,10,9,10,10,8,13,12,12,10,11,11,10,10,9,11,13,13,11,10,12,10,10,10,9,13,13,12,13,10,9,6,8,10,2,0
917523:0,0,1,4,5,5,11,7,9,8,4,9,8,6,8,6,7,7,5,6,4,7,2,7,6,3,5,6,1,7,2,2,4,6,4,4,3,5,5,5,5,2,5,6,5,8,1,3,5,6,6,3,7,5,4,5,1,4,6,8,8,5,2,2,2,1,1,0,1,2,1,0,2,0,2,0,4,1,2,0,0,0,0,1,3,0,4,0,3,0,1,1,2,0,1,3,1,0,1,1,2,1,0,0,0,1,0,0,0,1,0,2,0,0,1,2,0,1,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917012:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917525:0,0,6,12,19,13,10,14,23,15,23,22,18,18,14,16,18,15,16,19,18,17,12,19,20,14,12,14,21,24,14,5,15,18,20,18,17,23,12,14,17,12,18,17,14,17,16,17,10,14,16,16,17,14,16,20,21,21,19,21,12,20,17,10,6,3,5,5,0,7,5,6,2,3,0,5,5,6,2,4,5,6,3,2,2,5,6,6,4,8,5,5,2,4,1,2,5,4,4,3,3,7,3,1,3,4,3,2,5,6,5,4,1,3,3,4,8,6,4,6,2,3,2,2,6,4,2,6,4,6,4,2,2,6,4,6,2,3,4,2,2,2,8,5,6,7,3,7,6,2,4,1,7,7,1,3,7,5,6,4,2,3,8,3,5,4,5,6,4,3,2,3,4,3,9,3,0
917526:0,0,3,7,12,14,9,15,18,15,18,13,9,9,16,13,11,8,14,12,9,14,14,12,16,10,8,21,13,4,15,11,15,13,10,7,9,11,12,11,15,8,8,11,13,11,9,11,15,12,16,14,7,14,5,4,15,11,10,17,12,14,8,6,5,6,9,8,12,7,7,6,9,6,4,9,9,12,10,11,7,7,10,4,3,11,8,11,9,8,10,9,7,6,10,10,12,8,8,11,9,6,4,6,8,9,7,10,7,7,8,7,5,8,10,7,5,7,9,7,12,5,2,15,7,9,10,6,7,6,8,3,7,4,7,7,11,8,8,9,6,2,5,5,6,5,8,7,6,9,2,4,4,6,12,10,7,8,5,6,3,5,3,10,8,9,8,7,8,4,5,7,6,6,2,2,0
917527:0,0,1,4,8,10,7,8,10,6,5,10,7,4,10,9,5,9,6,9,5,10,5,9,10,9,5,11,11,3,8,3,2,7,7,5,7,8,8,6,7,3,7,8,7,8,11,6,11,11,5,7,4,6,9,0,9,7,6,13,8,10,7,2,4,4,4,4,8,6,4,3,3,3,3,6,6,6,5,3,4,4,1,4,3,6,7,4,6,3,5,5,2,6,4,4,8,6,6,6,4,2,3,4,4,8,1,5,4,5,3,4,4,5,4,5,2,4,4,2,5,3,3,3,5,6,1,1,6,3,6,4,4,1,1,5,11,7,7,6,3,3,6,3,4,4,7,5,1,5,5,0,1,4,8,7,3,7,2,5,5,2,4,5,4,4,5,4,3,4,5,4,1,6,2,1,0
917016:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917529:0,0,5,4,9,13,8,11,14,9,10,11,8,12,12,18,10,15,10,12,9,10,5,10,15,14,10,15,13,5,12,10,5,11,14,8,15,13,11,11,5,11,6,14,13,14,12,9,12,11,15,14,13,6,12,8,10,16,12,14,11,13,5,2,3,3,0,2,2,2,0,1,1,0,0,1,0,0,1,2,2,0,1,1,0,0,0,1,2,1,1,2,0,2,0,1,2,2,3,1,1,0,0,3,0,6,0,0,1,2,3,1,0,1,3,0,0,0,0,0,0,0,2,1,3,2,0,1,2,3,3,0,1,1,1,1,1,2,3,5,1,1,1,0,1,2,0,2,1,1,4,0,1,0,1,0,0,2,1,0,0,0,0,1,2,1,1,0,0,1,1,0,0,0,0,0,0
917530:0,0,0,1,4,6,10,4,4,3,1,5,4,3,6,5,0,6,5,4,5,5,4,7,4,4,7,6,5,1,5,6,1,5,2,2,6,7,4,6,6,2,4,5,3,7,12,8,8,7,5,3,3,5,5,2,4,3,4,5,8,3,3,3,3,2,3,1,3,4,5,1,4,3,3,5,6,6,4,1,2,0,3,4,3,6,6,4,3,1,3,3,2,4,4,3,5,5,3,5,1,2,3,1,4,2,1,2,1,4,0,5,4,4,1,5,1,4,5,2,2,4,3,2,2,3,1,1,3,0,2,6,3,0,0,3,10,6,3,2,2,2,4,4,3,2,3,3,3,1,4,0,0,3,6,8,3,4,2,2,5,4,3,5,1,4,4,4,3,3,4,3,0,6,2,1,0
917531:0,0,1,1,5,5,7,2,5,4,3,4,3,2,6,6,1,3,3,4,3,3,6,7,3,4,5,4,4,4,4,7,2,5,2,0,4,9,4,6,6,2,5,3,3,6,9,5,7,5,7,2,1,2,5,4,3,4,3,4,6,5,3,4,2,2,3,1,3,4,5,1,1,2,3,0,7,6,6,1,2,0,3,2,3,4,6,4,1,1,3,3,1,2,3,2,4,4,3,4,0,2,3,1,2,2,3,1,1,3,0,5,4,3,1,5,0,2,4,3,2,3,3,2,2,1,1,1,3,0,2,4,4,0,0,3,9,4,2,2,2,1,2,4,3,2,3,2,3,1,4,0,0,3,2,7,3,3,3,2,4,4,2,5,1,3,4,4,2,4,4,3,0,6,2,1,0
917020:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917021:0,0,3,1,1,3,4,8,5,5,1,3,5,5,2,3,2,2,4,2,3,5,2,3,3,2,3,3,4,2,1,0,6,0,2,5,4,8,3,6,4,2,3,2,5,3,2,4,2,2,2,2,5,1,3,2,3,2,3,4,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917022:0,0,4,2,2,4,5,6,11,4,4,6,7,9,5,5,4,5,5,7,7,6,5,5,8,9,7,7,9,3,6,2,9,5,4,3,9,8,4,8,4,4,8,2,8,2,6,4,5,6,7,3,8,6,8,4,4,5,10,6,3,3,1,1,1,3,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17439:0,0,4,8,8,5,5,6,3,5,3,9,6,4,9,6,11,10,4,8,6,6,7,12,3,7,6,9,8,4,10,2,6,4,5,10,9,6,6,8,3,5,8,5,7,6,9,10,3,8,10,8,11,9,8,6,8,8,5,5,5,8,4,3,2,0,1,1,1,0,2,0,2,2,0,0,3,1,2,0,1,1,0,1,2,2,2,1,2,1,2,2,2,0,1,1,0,2,0,0,1,2,2,0,1,1,0,1,1,1,2,0,1,0,0,1,2,3,0,1,0,0,2,1,0,2,1,0,1,0,2,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,2,3,0,4,0,0,0,1,3,1,0,3,1,3,1,0,3,2,1,1,0,0,1,0,0,0,1,0,0,0,2
917024:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917025:0,0,2,2,0,0,2,1,2,2,0,3,0,2,0,3,1,1,3,1,2,1,3,2,1,0,2,1,3,1,0,0,1,1,0,1,2,1,0,3,0,1,2,1,1,2,1,0,0,0,2,1,0,2,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17443:0,0,4,3,6,4,3,7,5,8,5,3,0,5,5,7,9,3,3,3,3,5,4,4,3,4,4,0,4,4,7,4,2,5,5,6,7,8,7,1,6,3,0,3,4,7,2,7,5,10,4,4,4,5,6,3,4,4,9,6,1,7,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
917541:0,0,3,3,4,6,3,7,5,3,6,7,6,4,5,6,5,7,3,5,4,1,5,3,5,5,8,8,4,7,3,1,6,5,2,2,3,7,5,2,4,2,4,5,4,8,2,4,2,5,4,6,1,4,7,2,7,4,8,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16935:0,0,4,1,3,1,3,2,1,3,3,3,2,1,0,0,1,0,2,2,0,0,1,2,5,0,3,2,1,2,0,0,2,0,0,1,4,1,4,2,0,1,3,2,2,2,2,0,3,3,0,1,3,0,4,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917544:0,0,3,4,8,6,3,5,7,7,5,7,2,7,2,6,3,6,4,6,2,7,5,0,4,6,9,9,5,3,7,2,6,6,9,7,6,9,10,4,5,2,8,5,5,5,3,4,5,8,8,9,5,5,5,2,4,8,6,5,2,7,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917545:0,0,2,5,2,4,2,7,2,7,3,10,3,9,4,12,2,5,3,6,5,10,3,8,3,8,1,6,5,8,4,9,8,5,3,7,6,7,7,8,7,10,5,4,4,4,4,6,5,8,2,7,6,6,4,6,4,6,7,7,5,10,3,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16938:0,0,2,1,1,0,1,4,0,2,0,5,3,3,2,3,2,2,2,4,1,1,4,2,0,0,1,5,2,1,1,4,3,2,1,3,3,1,4,2,2,2,0,2,2,5,1,3,2,4,1,2,3,1,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
