17748:0,0,1,1,3,2,5,4,6,5,9,1,3,5,6,6,8,4,4,3,7,5,6,3,4,4,7,8,8,3,8,3,6,6,10,0,8,3,6,6,5,3,7,5,8,7,10,3,5,2,6,5,3,3,8,5,3,4,7,4,9,5,6,5,3,0,3,0,0,2,1,0,0,0,3,1,0,0,2,0,1,3,0,1,0,0,2,3,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,4,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
917515:0,0,0,3,5,4,4,3,3,3,4,8,4,3,3,5,2,3,2,4,5,7,7,1,1,6,1,5,3,6,1,7,4,6,6,4,4,5,2,6,5,3,3,8,2,9,5,3,5,4,5,3,5,4,1,7,5,6,3,1,3,1,3,0,3,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,2,1,2,1,0,0,0,1,0,0,1,1,1,0,1,2,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
17421:0,0,0,3,1,3,5,1,2,2,0,2,1,5,3,3,4,2,3,2,1,3,2,2,2,5,3,5,4,1,5,5,0,4,4,4,2,3,3,3,4,7,1,3,7,3,2,5,2,4,6,4,4,1,1,3,3,2,3,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917099:0,0,3,1,5,6,13,4,9,6,11,7,5,9,6,5,5,7,8,7,8,6,5,9,9,5,7,6,6,9,11,12,9,10,7,7,6,4,5,14,3,8,7,6,8,8,8,8,10,8,12,9,5,6,6,4,6,9,11,9,9,9,7,3,2,2,3,0,2,1,2,1,3,4,2,1,1,2,1,2,0,0,2,1,0,1,1,2,2,0,0,0,1,1,0,1,0,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917520:0,0,2,4,6,5,11,3,4,3,8,4,4,4,4,5,3,8,6,7,4,6,3,3,4,7,4,3,5,6,7,10,4,4,9,5,9,4,3,8,7,0,8,5,6,6,4,5,4,4,4,7,7,10,6,7,9,5,7,8,14,7,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17752:0,0,0,0,2,0,4,3,3,3,5,3,5,4,7,5,2,1,7,4,4,8,5,5,4,2,1,1,3,5,5,5,5,3,4,3,4,5,2,6,4,0,5,11,6,3,3,1,5,2,6,7,4,3,4,2,3,7,3,4,6,3,4,2,2,0,1,1,1,2,0,2,1,3,2,1,2,1,0,0,1,0,0,0,0,0,1,1,3,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,1,1,2,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
917522:0,0,6,16,18,16,14,15,19,14,14,15,14,15,17,14,18,16,20,13,19,17,14,15,18,20,13,15,9,15,14,17,14,19,21,16,12,15,13,15,17,14,18,22,14,22,18,16,14,12,19,14,16,21,17,18,13,15,13,16,20,20,12,16,14,13,11,13,13,9,12,11,11,12,13,14,11,11,11,8,13,12,12,14,12,11,11,10,11,11,13,11,12,13,10,11,12,10,10,15,12,12,15,11,11,11,12,12,11,13,14,13,13,12,11,9,9,10,14,11,14,13,13,11,10,11,9,10,12,11,12,14,12,8,12,10,11,11,12,13,12,15,11,11,11,11,9,13,12,12,11,13,11,9,11,8,11,12,13,11,11,11,10,10,10,9,11,13,12,13,11,11,9,8,10,9,12,13,13,13,10,11,8,9,9,11,12,13,13,13,11,11,10,9,9,9,8,12,7,0
917523:0,0,4,4,5,4,4,3,8,5,3,4,3,3,4,2,6,9,4,5,10,5,4,4,4,9,5,4,3,4,5,9,5,8,10,1,2,3,8,9,8,2,6,7,0,8,6,3,4,6,4,3,4,8,5,6,3,6,4,5,11,7,4,3,3,1,1,1,3,1,2,0,0,1,1,1,2,2,0,1,0,0,0,2,0,0,1,1,2,1,0,0,0,1,1,2,0,1,0,2,1,2,1,1,0,3,3,3,2,1,1,1,1,0,0,1,0,1,3,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917012:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917525:0,0,5,17,13,17,17,19,17,20,17,23,14,15,19,20,19,16,16,21,16,16,16,18,16,17,16,17,14,20,26,18,15,16,20,16,16,17,16,18,17,13,22,22,17,15,20,20,20,17,19,22,16,19,16,12,22,17,15,17,14,20,16,10,6,3,4,4,6,8,6,3,6,2,2,4,6,5,6,4,2,1,5,2,2,5,7,4,7,3,6,2,3,4,7,2,4,2,5,6,7,2,3,5,7,6,3,6,6,5,4,3,0,3,5,5,4,3,3,8,6,3,1,3,5,3,2,5,4,4,4,1,6,4,5,4,3,5,4,3,3,3,5,2,4,5,6,7,7,5,1,0,4,6,6,8,3,7,7,3,3,4,4,2,7,4,7,7,5,2,1,5,4,4,8,4,4,6,4,4,2,4,6,3,3,8,4,5,3,4,6,4,5,3,6,4,2,5,4,4
