17748:0,0,0,1,5,3,3,3,4,7,7,6,2,7,5,8,3,2,6,8,8,11,7,7,5,3,5,3,9,6,5,6,6,0,5,1,5,5,6,6,7,9,7,8,6,5,3,7,7,2,5,6,6,2,9,5,7,7,1,4,5,1,6,4,2,0,1,0,0,1,1,0,0,1,3,0,1,1,2,2,0,0,1,0,1,0,1,0,1,0,1,0,1,2,0,0,1,2,2,0,0,0,0,1,2,1,0,0,2,1,0,1,1,0,0,0,1,0,0,0,0,2,0,1,1,1,0,1,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
917515:0,0,1,1,7,4,2,4,7,1,8,2,3,6,1,9,4,6,6,0,5,5,6,3,0,10,3,3,3,4,2,3,6,3,2,4,4,5,8,6,2,3,2,3,3,4,4,3,2,4,10,3,2,5,4,6,2,2,1,2,1,6,2,2,0,2,0,0,1,2,0,1,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,2,1,0,2,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,2,0,2,0,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,1,1,0
17421:0,0,2,4,1,5,3,1,2,2,3,4,4,2,4,3,5,3,2,2,4,3,3,5,2,2,3,2,5,2,4,4,1,1,1,5,3,1,1,4,2,4,3,3,4,5,6,0,4,2,2,2,3,6,5,3,5,4,2,2,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917099:0,0,3,0,3,2,7,8,6,10,10,10,9,10,3,3,7,6,6,8,11,7,11,7,8,9,9,6,6,4,9,8,8,8,9,11,5,3,9,6,4,12,6,8,10,9,4,6,2,10,3,9,6,5,9,4,7,11,9,4,13,10,6,8,5,3,3,2,2,3,2,1,1,2,0,1,2,3,2,0,0,0,0,1,1,0,0,2,2,0,3,2,1,2,0,0,0,2,1,3,0,1,2,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,1,3,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917520:0,0,1,5,6,8,6,4,4,5,3,4,7,9,9,4,3,7,4,10,6,3,7,13,3,9,7,7,10,5,3,8,4,3,6,9,7,7,6,9,6,6,4,10,4,7,8,3,4,3,6,5,2,5,2,3,9,4,1,9,5,9,2,0,0,1,1,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17752:0,0,0,1,1,2,4,4,4,1,4,2,4,4,2,2,4,2,3,4,3,6,3,1,5,0,6,2,4,4,7,3,6,5,4,1,3,4,7,5,1,9,4,3,3,4,3,3,8,3,6,4,6,4,4,5,7,3,3,2,1,4,5,8,4,1,1,0,0,1,2,1,0,2,2,1,2,0,0,2,1,1,0,1,2,0,2,0,0,2,1,0,0,3,0,0,2,0,0,1,1,0,0,0,3,0,0,2,3,1,0,1,1,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
917522:0,0,5,15,17,18,19,16,16,13,12,13,12,17,18,15,17,18,14,14,15,16,15,22,18,21,17,17,14,16,15,14,16,12,20,16,16,21,15,15,17,16,18,20,18,16,15,17,11,9,13,17,19,18,15,18,15,15,14,12,9,21,19,15,14,13,10,12,13,9,11,14,11,13,14,12,11,11,11,9,12,13,14,12,12,11,10,9,8,10,13,14,11,12,12,10,10,10,9,14,10,13,14,13,11,8,12,8,9,11,14,13,14,11,13,12,10,13,12,14,11,13,12,11,11,10,10,9,12,14,15,13,11,9,12,10,9,12,14,14,14,15,12,11,13,11,10,16,12,12,12,13,11,10,11,9,11,12,13,12,11,12,10,10,9,9,13,13,13,13,12,10,9,10,9,10,13,12,13,10,10,11,9,9,9,11,12,10,13,13,11,11,9,6,9,12,12,12,12,11,7,10,8,7,2
917523:0,0,5,2,6,5,7,6,5,7,2,5,3,5,5,5,6,6,4,4,8,4,5,6,7,4,10,6,4,5,5,4,4,1,7,6,4,7,4,5,3,6,6,7,5,4,7,2,2,5,5,2,6,9,3,6,4,6,3,3,4,8,7,1,1,0,1,1,3,0,0,2,0,0,1,0,1,0,1,1,0,2,1,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,2,1,2,0,2,0,0,0,2,0,1,0,2,3,1,4,0,1,0,0,1,2,1,0,2,2,1,2,3,3,1,0,1,0,0,2,2,2,2,2,1,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917012:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917525:0,0,4,12,16,17,16,11,15,12,10,17,17,20,16,17,17,19,20,19,14,19,13,17,21,17,22,16,22,22,21,16,22,16,16,19,13,25,14,27,15,16,24,23,17,16,16,17,21,9,21,12,13,21,21,19,29,20,22,18,14,17,17,13,6,5,5,2,7,5,3,6,3,2,3,6,5,4,6,4,5,4,3,3,4,7,2,4,2,0,1,4,1,3,5,7,3,5,4,4,3,4,4,6,5,3,4,2,4,4,4,3,3,6,8,5,5,6,7,3,6,2,2,4,4,4,6,6,3,5,5,3,5,5,4,4,5,11,5,5,4,2,4,6,1,6,6,3,3,6,3,3,7,2,4,9,6,4,5,4,2,4,4,3,11,4,4,1,2,2,3,3,7,6,5,6,4,3,5,2,4,3,9,8,4,4,4,7,2,3,5,6,4,3,5,5,7,4,3,5,1,1,7,8,1
