17748:0,0,1,2,4,1,5,9,10,10,8,3,4,4,7,9,7,8,7,10,3,5,10,4,7,4,11,7,4,8,6,5,6,5,5,6,9,2,6,5,8,5,5,4,7,6,7,5,12,3,9,5,9,6,6,9,5,3,5,9,6,4,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
917515:0,0,3,0,2,2,6,3,6,3,5,3,3,5,2,4,3,9,6,2,5,2,3,3,4,4,4,2,1,6,3,7,4,5,4,6,2,0,3,3,1,3,5,2,2,1,0,2,5,2,12,4,3,2,2,7,2,5,2,7,6,7,0,4,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
17421:0,0,0,4,0,3,3,0,1,2,1,0,1,3,3,0,4,1,5,0,1,1,4,2,4,2,4,1,1,2,5,1,3,2,4,1,1,1,4,7,0,1,1,1,3,2,3,1,1,2,6,1,3,2,3,0,1,0,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917099:0,0,0,2,7,8,6,7,9,11,8,7,10,9,10,8,6,9,11,9,2,5,7,5,9,7,4,6,8,8,10,6,5,6,7,12,12,9,10,4,8,7,6,5,5,4,7,13,10,7,5,5,5,8,12,3,11,11,7,9,10,11,8,9,2,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917520:0,0,3,4,4,8,7,2,4,6,10,3,4,4,11,6,6,5,7,8,5,6,8,3,4,6,5,7,4,5,6,5,3,4,5,5,8,5,6,11,6,7,7,5,4,3,5,5,5,8,7,5,9,4,3,5,5,7,3,4,5,7,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17752:0,0,0,1,5,1,6,7,5,3,4,0,7,3,3,5,4,4,4,5,3,6,7,4,5,2,5,3,4,3,4,4,4,5,3,2,6,3,1,7,1,6,4,2,7,2,4,2,4,3,3,6,5,5,2,2,3,10,4,0,1,1,6,4,1,1,1,0,0,2,0,0,0,0,1,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
917522:0,0,3,10,15,18,18,14,15,13,20,15,17,15,19,16,20,15,14,15,21,13,17,16,16,13,15,15,17,12,18,17,18,20,14,14,20,14,14,13,16,18,17,20,15,16,14,15,13,14,17,23,21,19,19,19,14,14,18,12,14,16,18,15,14,13,10,11,10,9,12,13,11,13,15,12,9,11,10,8,12,9,11,12,12,11,10,10,8,9,13,12,11,11,12,10,10,10,9,12,13,13,11,12,11,9,10,8,10,11,8,0,0
917523:0,0,1,5,4,5,6,7,4,5,3,6,4,2,7,6,10,6,2,9,8,1,8,3,2,7,3,6,4,3,10,8,6,6,4,4,8,4,6,8,9,6,8,6,4,7,2,6,6,5,12,10,9,5,8,4,3,9,6,2,7,6,6,1,2,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917012:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917525:0,0,6,10,14,19,14,17,11,16,15,18,15,19,16,7,11,15,17,16,19,15,24,15,18,11,21,14,16,20,11,18,15,18,18,12,8,15,11,14,12,15,19,12,13,16,12,16,14,12,23,18,22,23,25,16,28,18,20,23,13,21,16,9,5,3,7,5,3,4,5,4,3,4,5,3,4,3,9,5,3,3,2,1,0,3,4,7,4,4,3,7,5,1,2,3,4,3,7,3,6,5,3,3,2,5,6,1,5,5,5,0,0
