17748:0,0,2,3,4,3,4,2,5,3,3,3,4,3,5,3,5,4,8,3,3,2,7,6,3,0,3,4,2,0,4,3,7,6,6,4,5,4,4,5,7,6,2,1,2,3,5,4,1,2,5,2,5,4,8,5,8,4,5,5,3,4,2,2,1
917515:0,0,1,0,2,3,0,0,4,1,1,1,2,2,1,2,3,4,3,1,0,0,4,2,2,0,0,2,3,1,0,2,0,4,1,3,1,0,1,2,2,3,2,1,0,4,4,0,3,2,2,0,3,2,1,2,1,2,1,3,0,1,2,1,0
17421:0,0,0,1,0,2,1,2,0,1,1,0,2,1,0,0,2,0,0,0,0,3,0,2,2,1,2,2,0,0,1,1,0,2,2,0,1,2,1,1,1,0,2,2,1,0,1,1,1,1,0,1,2,1,0,1,2,1,0,0,0,2,2,0,0
917099:0,0,1,0,2,3,2,5,7,4,1,6,6,4,3,3,0,5,4,6,6,3,1,2,2,2,4,0,4,0,3,2,5,6,2,7,5,7,2,3,2,8,2,0,2,3,1,6,3,1,5,3,8,2,6,3,9,6,2,2,2,7,2,2,0
917520:0,0,1,2,2,2,9,3,4,4,4,2,7,2,5,6,2,5,5,3,5,4,2,6,5,5,2,3,3,7,1,6,7,3,5,3,2,3,2,8,2,1,5,4,5,4,5,7,2,2,2,6,5,10,3,5,3,3,0,7,5,2,1,1,0
17752:0,0,0,0,3,2,4,3,2,1,4,0,5,0,3,2,4,1,0,3,4,7,2,0,3,1,1,3,4,0,3,2,1,4,2,0,0,1,5,3,1,2,3,4,2,2,0,1,3,6,3,2,2,0,2,4,6,2,2,2,7,2,3,1,1
917522:0,0,1,7,3,11,12,10,7,10,8,10,3,10,7,8,4,8,9,8,6,8,5,9,7,13,10,10,10,10,9,8,14,12,10,12,8,9,15,14,11,9,7,8,7,11,9,13,10,6,6,10,7,10,6,9,6,12,5,5,8,8,5,1,0
917523:0,0,3,2,4,1,4,4,7,4,2,2,5,2,1,7,2,7,3,5,7,2,2,3,3,7,3,5,3,3,3,7,8,3,1,5,2,5,8,11,5,2,4,5,5,4,6,6,4,2,3,7,5,5,4,4,3,4,4,2,5,3,2,0,0
917012:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917525:0,0,1,4,2,6,5,5,8,7,6,7,3,15,3,8,3,1,8,5,6,12,7,8,7,9,6,5,5,9,8,6,12,11,8,4,17,9,9,12,12,9,6,9,4,9,4,13,7,12,7,8,7,8,10,3,13,12,6,6,6,7,8,4,0
917526:0,0,2,6,4,10,8,4,9,6,8,7,10,5,7,4,8,1,11,7,6,6,4,7,5,7,7,8,8,7,12,6,8,12,5,5,5,7,7,13,7,9,5,7,6,1,11,10,9,4,6,6,8,4,5,0,8,10,5,4,8,4,1,2,0
917527:0,0,2,4,1,5,4,7,3,6,6,4,7,4,3,3,6,0,11,5,4,2,6,6,6,3,7,6,3,5,6,4,7,9,2,1,4,5,4,11,6,6,4,5,4,2,7,8,4,4,2,2,9,5,4,3,6,8,2,2,6,1,4,2,0
917016:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917529:0,0,3,1,5,7,5,3,4,7,6,4,4,4,4,2,2,9,8,6,2,11,1,5,8,3,4,4,7,4,5,6,4,2,4,1,2,7,2,6,7,5,1,3,6,2,3,3,4,4,3,3,5,5,4,3,8,7,10,1,2,3,3,0,0
917530:0,0,1,1,2,3,3,7,1,4,1,3,7,4,1,5,3,1,6,2,2,2,5,3,6,3,4,4,3,2,2,4,6,4,3,1,4,2,5,7,3,7,2,1,5,3,7,5,1,4,3,1,6,2,3,1,6,4,1,4,3,0,3,3,0
917531:0,0,1,1,2,3,2,5,3,2,3,3,5,2,0,4,3,2,4,2,2,1,3,3,4,2,3,3,6,0,2,3,6,3,3,1,1,2,4,4,6,4,3,2,7,3,8,4,2,5,2,2,9,2,2,1,4,4,2,2,3,2,2,3,0
917020:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917021:0,0,0,0,1,2,4,1,1,5,4,3,2,2,2,1,1,3,1,1,1,2,2,2,1,0,1,2,1,5,1,1,1,1,2,1,3,2,1,2,2,3,1,1,4,1,1,2,0,0,3,3,2,0,2,3,1,1,2,2,3,1,0,1,0
917022:0,0,0,0,1,2,3,3,1,2,3,4,1,1,2,1,1,5,2,2,2,1,1,1,3,1,1,1,2,1,4,2,3,2,3,2,3,0,1,3,1,3,0,2,2,2,1,2,2,0,4,4,1,0,2,2,3,1,2,4,4,1,0,1,0
17439:0,0,2,3,10,6,3,7,4,8,7,4,6,6,9,9,3,8,5,4,9,8,2,9,8,5,4,4,3,2,6,9,9,8,2,5,7,5,8,12,8,5,3,8,6,5,8,4,8,10,3,9,7,5,7,11,4,6,8,4,2,7,6,2,0
