17748:0,0,0,6,6,10,7,8,7,7,9,6,9,8,9,4,9,6,10,2,9,6,8,8,5,5,14,11,7,8,8,4,7,7,9,4,13,8,12,6,7,7,8,5,12,3,8,11,10,1,11,2,10,9,7,6,9,7,8,7,8,7,10,6,0,0
917515:0,1,1,4,3,4,6,3,6,4,6,10,3,4,3,11,3,10,2,2,3,2,6,3,3,5,7,4,1,3,3,3,2,7,7,1,7,7,5,1,3,5,10,4,1,3,2,5,6,3,11,3,6,4,4,2,6,10,5,7,9,5,2,0,0,0
17421:0,0,1,0,1,3,3,4,1,1,0,0,2,1,3,2,0,1,2,2,1,2,3,3,5,3,0,3,2,2,1,1,3,3,2,2,1,3,0,4,2,0,2,2,2,1,3,3,2,1,2,0,0,1,2,1,2,0,1,3,2,0,1,0,0,0
917099:0,0,1,3,3,5,6,5,9,5,6,3,6,9,5,6,5,6,8,6,5,2,9,4,8,5,4,6,7,4,9,15,8,4,5,11,4,6,9,6,5,8,3,9,5,6,7,8,6,4,7,4,11,3,7,6,8,5,10,13,7,6,7,5,1,0
917520:0,0,5,5,10,7,6,4,6,8,7,5,10,6,6,8,10,12,4,9,5,11,12,8,5,7,7,16,5,10,12,8,6,7,14,8,10,11,10,14,8,9,13,5,3,5,10,10,8,5,8,12,3,10,7,9,7,7,8,10,10,12,2,2,0,0
17752:0,0,1,3,3,4,8,2,5,5,7,2,6,5,3,1,8,5,6,2,3,12,10,5,5,2,4,8,7,4,7,3,9,5,3,4,6,6,6,5,2,2,3,4,8,6,8,5,2,1,8,5,8,7,7,4,6,5,8,5,10,3,3,7,0,0
917522:0,0,5,10,10,15,16,11,7,14,14,11,7,10,13,12,17,12,14,11,12,12,16,12,14,9,11,16,19,16,11,10,8,15,21,15,7,8,15,17,21,17,19,12,12,17,11,14,12,10,11,8,4,11,8,15,13,9,14,10,13,12,13,5,2,0
917523:0,0,3,5,10,11,10,6,12,11,9,10,9,7,6,7,14,13,8,8,8,11,12,9,8,6,9,15,10,13,8,10,10,8,17,8,7,10,12,17,10,13,18,10,6,9,10,10,9,9,9,7,2,7,6,10,6,7,12,5,13,16,8,1,0,0
917012:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917525:0,0,2,6,11,22,15,13,13,9,15,14,10,11,14,9,12,8,13,12,16,11,14,16,17,11,12,18,19,17,14,12,9,12,12,12,11,10,16,9,14,14,14,10,11,11,9,13,16,19,10,15,10,21,10,11,10,8,13,14,12,12,15,2,2,0
917526:0,1,3,9,8,9,11,7,12,9,18,14,10,7,10,12,10,10,15,12,9,13,14,8,12,12,6,11,12,17,10,6,9,12,14,17,8,12,9,16,20,17,12,9,13,5,12,16,9,8,16,8,7,6,8,5,20,9,15,8,9,8,12,5,1,0
917527:0,0,2,4,5,8,6,7,6,7,12,8,5,7,5,7,9,8,10,7,4,10,9,8,6,11,5,13,7,11,7,8,8,9,9,12,5,6,6,11,13,12,7,9,3,5,9,13,6,7,15,5,1,5,7,5,14,9,14,5,8,9,7,2,1,0
917016:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917529:0,0,4,10,10,8,4,9,8,11,11,13,10,9,8,13,18,11,13,13,9,10,6,9,11,13,18,10,15,8,9,10,13,13,15,7,11,9,3,13,11,2,6,9,14,13,13,4,5,14,11,5,11,8,17,15,10,14,4,10,5,9,6,7,0,0
917530:0,0,1,0,1,7,9,6,7,7,7,6,5,6,3,6,5,9,11,4,4,5,10,10,4,9,3,12,7,8,5,8,4,8,6,10,5,6,4,6,10,7,10,5,5,6,10,10,5,3,14,5,2,6,4,5,10,9,13,8,6,8,5,1,1,0
917531:0,0,1,0,1,5,5,6,2,8,6,7,4,6,4,8,6,8,9,6,4,3,8,9,4,9,3,9,8,8,6,6,6,8,5,5,8,6,6,3,7,10,9,6,5,5,5,8,8,4,13,7,4,6,4,2,8,9,9,6,7,7,6,2,2,0
917020:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917021:0,0,1,1,3,5,9,1,4,3,5,5,4,2,2,3,3,7,2,6,8,5,4,2,3,2,3,4,3,5,4,4,7,5,7,8,4,7,10,1,3,2,4,3,4,6,10,4,2,8,5,3,4,4,6,2,8,9,4,5,6,3,2,0,0,0
917022:0,0,1,2,3,5,8,8,6,4,3,10,4,5,7,4,3,8,6,5,9,5,4,4,3,4,2,6,3,2,7,8,9,6,8,8,10,7,10,2,4,2,7,6,5,4,10,10,2,8,7,4,8,5,10,3,7,6,11,9,10,2,3,0,2,1
17439:0,0,2,11,13,16,12,10,11,8,8,17,7,14,12,17,11,9,9,21,7,22,10,15,15,5,12,14,16,5,8,10,9,5,14,20,9,13,9,12,10,8,8,9,9,6,9,13,15,14,14,13,14,18,14,5,13,18,13,9,10,9,10,3,0,0
917024:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917025:0,0,2,0,1,0,1,2,1,2,1,2,2,1,0,2,1,0,3,0,2,0,1,1,3,1,0,1,1,2,1,2,0,1,1,2,1,2,2,0,0,1,1,1,2,0,4,1,0,3,2,0,2,2,1,1,1,2,1,1,3,2,1,0,0,0
17443:0,0,5,10,5,5,8,6,6,5,5,6,4,8,7,7,12,9,4,13,7,4,1,7,8,6,6,13,7,5,6,9,10,2,5,14,7,8,8,7,9,6,5,12,9,8,7,10,9,8,10,10,10,8,5,7,7,5,6,6,5,6,6,1,0,0
917541:0,0,5,3,9,2,3,8,2,8,7,3,7,6,6,12,3,4,2,4,4,8,5,4,5,5,2,5,4,7,3,2,3,7,2,2,3,2,6,2,5,9,5,1,3,3,6,4,7,8,8,3,7,3,5,5,7,6,5,3,7,5,0,0,0,0
16935:0,0,2,1,1,2,2,0,0,3,1,1,3,3,0,2,2,0,2,1,1,3,0,3,2,0,1,1,1,1,1,2,1,1,1,1,2,2,0,3,1,2,1,1,1,3,0,3,1,0,1,2,2,2,3,1,2,2,0,3,2,1,0,0,0,0
917544:0,0,1,2,4,2,5,4,2,6,5,5,7,5,6,7,5,8,6,10,4,6,5,7,2,10,7,5,10,2,4,5,5,12,8,3,11,10,7,10,4,5,5,6,8,10,7,7,7,2,8,7,12,3,12,6,3,10,8,4,5,6,1,1,2,0
917545:0,0,2,3,3,3,5,6,8,9,7,7,7,8,3,9,4,5,4,8,4,7,5,9,7,5,5,11,9,7,6,4,4,4,6,4,9,8,4,6,9,7,9,10,9,7,8,9,7,11,5,11,4,7,7,11,11,8,5,12,7,6,6,1,0,0
16938:0,0,1,4,0,1,2,3,1,2,2,3,2,1,4,2,3,0,1,4,3,2,1,2,3,3,2,2,0,4,3,4,2,1,2,3,2,1,2,4,2,1,3,1,2,2,0,3,3,0,3,2,5,3,1,1,5,1,3,2,1,2,0,0,0,0
917035:0,0,2,1,1,1,1,2,1,2,4,2,3,4,2,1,2,1,4,0,2,2,1,3,2,4,1,1,3,2,2,1,1,3,3,4,4,1,2,2,0,1,0,2,3,0,5,1,0,4,2,3,3,2,2,1,2,4,1,1,4,3,2,0,0,0
16931:0,1,12,17,9,7,12,14,8,15,7,8,9,15,5,12,7,16,8,13,7,15,5,11,9,6,11,9,6,10,5,15,14,6,13,15,6,22,7,7,4,9,8,6,11,8,10,8,13,9,7,12,6,13,6,11,12,14,6,7,9,8,0,0,0,0
917430:0,0,4,6,10,11,10,5,15,13,12,11,17,17,13,7,19,14,18,5,8,9,13,10,9,13,14,16,10,10,11,8,10,14,18,10,8,18,14,11,9,5,17,11,13,19,13,11,15,12,12,14,16,11,8,9,21,10,10,16,19,16,7,2,0,0
17528:0,0,4,6,19,15,18,11,17,15,17,16,12,9,13,22,14,9,13,23,12,19,17,11,16,17,13,9,19,14,12,4,15,12,14,16,16,21,12,12,23,15,18,12,16,9,10,14,19,18,15,14,19,18,22,7,19,13,13,12,11,13,14,3,2,0
917429:0,0,2,3,6,7,3,7,11,7,8,11,7,7,9,8,9,6,6,3,7,7,4,8,5,10,7,10,10,10,7,1,6,7,14,5,6,8,9,7,8,6,7,8,8,13,11,13,6,8,7,9,11,10,2,4,9,12,7,14,6,7,6,0,0,0
17102:0,0,2,4,9,8,4,9,6,10,8,3,4,6,7,6,1,8,5,10,10,8,5,4,6,6,11,4,4,8,12,6,7,7,5,8,5,10,6,6,2,6,6,14,9,8,12,6,9,5,6,8,11,10,5,8,11,4,6,8,8,11,5,0,0,0
17523:0,0,2,3,10,11,16,14,5,10,7,14,11,5,7,11,7,8,6,6,9,9,12,11,13,7,12,7,9,11,8,3,15,10,15,11,6,6,10,10,11,6,11,4,9,11,4,10,6,7,6,6,14,11,8,13,8,7,14,11,5,6,11,6,1,0
17989:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917069:0,0,1,2,2,5,3,5,1,2,2,0,1,4,1,2,1,2,3,3,1,1,0,0,3,1,1,2,3,2,2,2,0,0,1,2,1,1,0,2,0,1,1,2,1,2,5,4,4,2,3,3,2,4,2,2,4,4,2,1,2,0,0,0,0,0
917432:0,0,9,12,10,16,20,22,20,21,17,18,27,23,17,23,22,27,17,18,13,11,29,26,25,16,21,19,28,19,20,23,19,27,26,19,8,20,26,23,26,23,23,17,20,16,19,19,23,19,14,19,17,29,19,28,19,27,25,13,14,23,15,12,1,1
17622:0,0,0,5,9,7,4,5,7,8,4,8,10,8,3,5,12,7,7,4,10,6,7,8,9,5,7,11,6,8,4,9,13,9,5,11,5,9,6,4,4,3,4,7,5,10,6,3,7,7,11,4,9,8,5,11,8,6,4,10,5,3,4,5,0,0
917778:0,0,0,1,0,2,4,2,1,5,2,3,3,2,2,2,3,4,3,1,3,8,3,1,1,2,2,4,6,0,2,2,2,1,2,3,1,4,2,3,2,2,0,5,2,4,2,4,4,1,2,6,5,5,2,4,3,2,4,1,3,2,0,0,0,0
916927:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917592:0,1,2,2,1,3,2,5,1,1,4,3,1,4,4,10,6,5,3,5,2,3,5,3,5,3,1,2,1,4,1,1,5,2,2,0,2,2,5,0,2,6,4,5,3,4,0,2,1,1,2,6,2,3,0,3,1,4,1,4,6,4,1,0,0,0
917519:0,0,5,5,9,5,5,6,6,8,3,6,7,9,5,10,9,8,4,8,10,9,4,8,5,5,10,10,7,10,8,5,5,12,9,9,8,13,10,9,8,10,10,5,3,6,9,5,9,11,9,5,7,10,7,7,8,9,10,10,6,11,5,1,0,0
917085:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917086:0,0,1,3,0,2,0,0,3,0,3,1,3,2,6,2,1,3,3,2,0,0,1,2,2,2,1,1,4,3,4,3,1,3,0,1,1,1,4,3,1,1,3,1,4,1,1,0,1,2,2,6,1,5,3,1,0,0,2,4,2,2,1,0,0,0
917601:0,0,1,5,14,7,6,6,11,7,5,8,7,8,6,9,15,5,8,7,7,7,5,9,6,12,10,9,8,6,5,8,3,8,10,6,9,3,5,12,4,3,9,8,7,6,5,6,5,8,8,3,9,9,14,5,7,9,6,7,2,7,3,3,0,0
17655:0,0,4,6,6,5,8,1,8,6,10,4,11,6,10,6,7,4,8,8,5,8,8,5,6,8,6,5,7,7,9,5,6,4,6,5,6,6,3,8,13,7,7,3,2,9,5,2,7,8,7,9,11,4,7,6,3,5,13,5,6,9,3,1,0,0
917604:0,0,0,0,0,3,2,2,0,0,0,1,1,1,1,3,0,1,2,0,0,1,1,0,2,0,1,1,0,0,1,0,1,1,0,0,1,2,1,1,0,0,0,0,0,1,0,1,1,2,3,1,3,0,0,1,1,1,0,2,1,1,1,0,0,0
917605:0,0,1,1,4,3,4,4,3,1,0,2,2,2,4,4,3,2,4,1,4,1,1,3,4,2,5,2,2,0,5,2,3,1,2,5,1,3,1,4,0,2,1,2,2,2,1,0,2,5,2,5,6,2,2,3,5,3,0,4,2,3,1,0,0,0
917606:0,0,0,0,0,2,1,2,2,0,1,0,1,2,2,3,3,1,4,0,1,0,1,0,1,1,1,1,2,1,0,2,0,3,2,0,1,2,2,1,1,2,0,1,2,1,1,0,1,2,0,1,4,1,0,2,1,1,1,4,1,1,1,0,0,0
917607:0,0,0,0,0,1,0,0,1,2,0,1,1,0,2,1,2,3,1,0,2,1,1,0,2,0,1,1,2,0,2,2,0,2,1,1,1,0,1,0,2,1,0,2,1,1,0,0,1,0,0,0,2,1,0,1,1,1,0,2,1,0,0,0,0,0
917097:0,0,0,3,3,0,2,2,4,5,4,0,7,4,4,5,7,1,3,1,4,6,5,3,1,3,3,3,2,3,5,3,1,2,1,4,3,5,4,1,2,1,1,3,4,3,2,0,2,2,2,4,2,2,2,3,3,4,6,9,3,5,0,0,0,0
17515:0,0,1,2,2,5,3,5,10,2,5,2,3,1,4,5,2,2,4,4,3,5,4,6,8,2,7,5,4,3,5,8,4,8,5,3,1,7,5,6,8,2,7,8,6,3,4,5,8,4,7,4,2,2,4,7,8,4,5,7,7,5,4,2,0,0
917100:0,0,3,4,6,2,4,6,6,8,4,7,9,6,7,8,5,5,5,9,8,8,6,6,6,4,7,5,5,7,9,7,7,6,7,6,7,12,3,6,5,2,2,7,9,7,5,6,10,3,8,5,6,2,6,2,6,8,6,8,5,12,0,1,0,0
917101:0,0,2,9,5,4,3,4,6,6,6,4,10,12,4,9,10,5,5,5,5,5,12,6,8,3,8,7,5,9,10,12,4,6,7,6,3,12,5,8,5,6,5,8,8,4,8,10,4,4,8,7,6,6,7,6,7,9,8,7,7,8,2,0,1,0
917103:0,0,0,3,3,5,9,7,10,11,13,11,6,6,8,10,16,17,6,14,15,13,8,6,17,13,11,10,11,13,18,10,8,10,17,15,9,5,11,13,18,12,19,15,12,9,14,8,6,11,10,13,12,7,14,12,11,10,15,12,11,12,12,9,4,0
917104:0,0,1,7,8,6,4,4,7,5,3,6,9,11,4,10,5,7,0,8,7,3,7,7,5,2,3,7,4,7,7,10,5,2,2,10,2,11,6,4,5,5,7,4,8,6,7,8,6,7,5,7,5,6,10,7,2,8,6,7,4,8,4,1,1,0
17521:0,0,0,2,9,6,6,9,13,6,6,8,7,8,4,10,8,7,5,6,8,6,10,8,7,5,5,7,7,9,7,12,11,9,7,7,8,8,6,5,6,6,4,7,4,8,7,3,6,11,8,4,6,10,5,9,6,8,6,15,3,3,7,7,2,0
17522:0,0,0,2,3,10,8,4,5,6,5,6,4,3,2,5,5,1,2,5,5,5,6,7,5,6,7,6,4,7,3,1,12,3,7,5,5,4,4,6,6,5,5,2,7,7,7,4,3,4,2,4,8,6,11,6,4,4,6,4,2,5,7,5,1,0
917107:0,0,0,4,5,8,4,10,8,4,6,5,6,7,9,7,9,10,13,11,8,7,5,10,4,4,6,4,7,10,10,9,10,11,8,4,8,2,7,11,9,5,13,6,8,6,7,7,5,6,10,12,11,9,12,9,7,7,10,11,4,13,4,8,3,0
917108:0,0,1,3,6,0,4,3,3,4,4,3,2,2,2,1,4,2,2,1,3,3,2,2,1,0,3,3,1,0,2,2,1,1,5,3,1,1,3,1,2,2,6,4,4,3,2,2,2,2,2,2,2,2,0,4,5,2,3,3,4,3,2,0,1,0
917109:0,0,1,3,2,1,2,3,2,3,1,0,2,1,5,2,1,5,3,1,1,3,3,2,2,1,3,0,1,3,2,3,2,1,2,4,0,3,2,2,1,2,1,2,1,4,4,3,2,3,4,1,2,4,3,2,2,1,4,2,1,0,2,0,0,0
17526:0,0,0,7,7,7,9,2,5,2,3,5,2,4,6,6,6,3,4,4,6,5,2,6,3,3,6,7,8,6,3,2,3,2,4,8,3,3,9,3,4,4,7,5,7,3,4,5,8,3,4,4,4,6,4,4,1,3,8,6,4,4,2,1,0,0
17527:0,0,0,3,5,6,7,6,6,0,5,3,7,3,6,7,3,7,4,2,3,7,2,5,4,4,4,7,6,5,4,5,5,2,4,4,5,5,3,10,7,7,3,5,8,5,2,6,3,2,4,7,6,3,4,3,2,6,5,6,5,8,2,1,0,0
917112:0,0,1,2,3,4,1,2,3,2,2,2,3,4,3,5,1,5,4,4,1,2,2,3,6,0,5,3,4,3,5,4,3,3,1,3,2,3,2,3,2,1,3,2,1,0,4,7,2,3,5,3,4,6,4,2,4,1,3,7,0,2,2,1,1,0
917113:0,0,0,2,2,2,0,0,2,0,1,0,2,2,1,1,1,1,2,1,3,1,2,1,2,1,2,1,4,0,1,2,5,3,0,0,0,1,1,1,1,1,1,1,1,0,1,4,0,0,5,2,1,1,1,0,1,1,1,1,2,2,1,2,0,0
17530:0,0,3,3,5,5,6,4,5,1,7,5,5,4,5,9,6,6,3,6,2,8,7,4,3,6,12,5,8,5,5,7,5,5,7,3,5,5,2,8,9,6,7,5,10,7,3,7,6,2,3,6,9,3,7,4,3,6,8,3,10,8,3,0,0,0
