17748:0,0,1,2,7,5,7,5,9,5,5,6,12,3,10,8,9,4,5,3,7,3,6,9,7,2,13,5,4,9,8,7,11,5,13,1,12,1,11,8,11,5,9,7,9,8,10,13,11,7,4,9,13,5,7,6,10,9,10,11,5,5,6,5,1,0,0
917515:0,0,3,1,2,5,4,4,5,6,9,3,5,2,5,10,1,4,2,2,7,5,5,1,3,4,6,7,5,9,3,4,3,3,9,2,5,2,3,5,5,3,3,3,3,4,9,3,8,1,5,4,6,4,4,5,2,3,3,9,7,7,3,2,1,0,0
17421:0,0,0,1,0,3,3,4,2,1,1,2,3,1,2,2,3,1,1,0,0,3,2,0,3,1,2,1,5,2,1,1,0,1,6,0,0,4,4,6,2,2,2,3,2,3,1,1,0,0,1,1,0,2,2,0,2,1,1,0,0,2,0,2,1,0,0
917099:0,0,1,1,5,4,5,9,5,9,4,4,3,4,5,4,6,5,5,6,7,8,1,6,11,3,10,8,7,1,10,13,5,9,5,9,8,12,5,7,6,9,3,7,4,8,10,7,5,8,10,5,7,2,5,3,9,10,4,7,3,6,6,9,2,0,0
917520:0,0,5,9,12,11,8,2,10,12,7,10,6,12,9,5,7,13,6,5,5,6,10,11,5,11,8,12,14,10,12,15,6,10,14,15,9,2,8,8,13,5,8,9,8,6,8,8,9,8,6,9,10,9,3,5,7,9,3,7,6,6,5,1,0,0,0
17752:0,0,0,3,3,4,6,4,4,3,4,1,4,4,7,12,8,2,1,7,10,8,4,1,2,6,3,2,4,4,7,6,5,2,3,2,6,8,3,3,6,2,3,3,6,4,4,5,7,10,10,5,2,2,4,4,4,9,4,4,6,5,6,3,0,0,0
917522:0,0,3,12,10,17,12,13,13,17,14,16,8,11,15,15,15,9,17,8,11,6,20,17,11,11,17,16,13,15,12,10,9,13,19,17,11,13,12,10,12,13,11,15,13,13,6,14,16,16,16,19,17,10,9,10,10,12,12,14,12,7,10,6,2,0,0
917523:0,0,5,10,14,13,10,7,12,9,8,7,6,8,14,8,11,15,9,5,4,5,14,11,6,7,14,8,13,10,10,11,6,8,15,15,8,7,9,11,7,10,11,12,9,13,7,5,11,15,15,10,8,6,6,4,5,10,12,7,10,5,6,1,0,0,0
917012:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917525:0,0,4,11,13,14,10,13,14,16,15,14,10,15,14,15,14,13,13,11,11,6,13,15,23,11,9,10,19,13,12,13,13,9,21,8,6,13,12,13,15,11,18,13,10,10,7,13,12,13,21,14,12,13,14,16,10,9,11,18,13,13,10,6,1,0,0
917526:0,0,3,5,10,13,9,6,11,16,15,10,10,11,13,14,13,10,11,7,9,14,17,14,11,10,8,18,10,18,14,11,8,6,14,12,10,10,10,12,10,13,5,7,10,10,10,9,12,12,18,10,16,9,10,5,13,11,10,10,17,8,6,8,1,0,0
917527:0,0,1,6,11,5,9,7,7,11,11,8,8,8,7,10,9,7,7,8,4,8,9,7,10,7,7,15,5,11,8,10,8,3,8,13,8,9,4,8,6,11,5,3,7,8,7,8,6,11,10,9,12,7,5,4,9,7,12,6,10,4,3,6,2,0,0
917016:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917529:0,0,3,9,9,13,10,14,9,9,11,7,6,5,8,6,8,13,7,6,6,9,10,13,8,12,8,12,14,10,11,9,11,7,12,4,16,14,10,10,12,16,14,6,10,13,9,15,9,13,9,13,21,9,11,14,14,10,7,11,16,5,5,7,1,0,0
917530:0,0,0,0,6,4,5,9,3,8,8,8,9,6,7,10,9,9,5,5,5,6,6,4,4,6,5,13,5,7,6,7,9,3,4,11,8,8,5,7,6,5,3,6,4,9,5,6,6,6,11,9,11,8,5,5,5,7,10,4,5,4,3,7,2,0,0
917531:0,0,0,0,7,7,4,7,3,4,7,9,9,4,6,9,6,12,5,5,5,6,5,3,4,8,7,10,6,7,8,7,10,5,4,8,4,10,10,4,9,4,5,4,5,6,7,6,6,5,11,6,8,6,5,3,5,3,12,4,6,2,4,8,2,0,0
917020:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917021:0,0,3,1,4,5,7,1,4,3,5,3,3,7,3,4,3,5,4,5,10,6,4,6,7,4,7,4,2,7,1,2,9,3,4,5,2,4,5,9,2,4,2,6,4,2,3,1,8,7,6,6,4,2,3,5,4,1,4,4,4,7,6,2,0,0,0
917022:0,0,2,3,3,5,6,4,4,3,4,5,3,5,8,4,5,5,4,6,9,13,5,4,6,4,11,4,5,3,8,4,10,7,5,8,5,6,5,9,3,4,5,4,6,4,5,4,6,9,10,6,8,5,4,2,11,4,9,6,6,4,6,4,0,1,1
17439:0,0,3,9,12,12,10,20,8,14,10,13,14,12,10,13,12,10,5,8,8,14,6,14,15,7,18,9,10,12,10,18,4,4,17,19,13,11,13,15,9,10,4,10,11,11,12,9,13,15,12,13,9,9,11,12,18,17,18,11,14,11,10,4,1,0,0
917024:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917025:0,0,0,0,0,2,1,2,4,0,2,1,1,3,0,1,0,2,1,1,1,2,3,0,2,2,3,2,1,1,2,0,0,2,1,4,2,1,0,1,1,0,0,0,1,0,1,2,1,1,1,1,2,2,2,0,1,0,2,1,4,1,2,0,0,0,0
17443:0,0,3,7,7,5,9,7,10,8,9,5,1,7,8,10,11,6,9,7,7,5,6,10,8,7,6,6,5,8,10,6,14,8,11,6,8,10,7,6,10,7,7,7,5,10,4,5,6,5,5,6,8,6,6,9,9,7,10,10,5,8,7,0,0,0,0
917541:0,0,5,7,3,5,5,3,5,2,5,5,4,4,5,3,5,5,8,5,3,7,9,4,1,5,4,4,6,5,6,5,6,4,5,5,6,5,2,4,6,1,3,2,6,7,2,4,3,4,2,6,4,3,7,0,4,5,3,6,2,2,0,0,0,0,0
16935:0,0,1,0,1,1,1,3,2,0,1,2,2,3,0,0,3,1,0,2,0,0,0,1,2,0,0,3,1,3,0,1,2,1,3,2,2,0,2,3,0,1,3,3,1,1,2,1,2,1,1,2,0,4,2,1,0,2,1,1,2,2,0,0,0,0,0
917544:0,1,2,5,7,3,6,2,1,5,6,5,3,8,7,7,5,9,7,5,5,6,7,4,5,6,4,10,9,3,7,7,5,5,8,5,4,8,2,8,11,4,2,4,7,7,7,3,7,7,4,4,6,4,6,6,5,7,10,5,8,11,2,1,1,0,0
917545:0,0,2,5,2,10,3,9,2,8,12,6,9,11,7,9,5,8,4,6,9,5,10,8,6,5,4,8,11,8,5,7,9,8,9,6,4,4,5,9,8,5,6,3,9,6,4,5,7,5,6,5,7,6,9,6,5,4,9,7,8,5,5,4,0,0,0
16938:0,0,3,1,2,2,2,1,2,2,2,2,1,3,3,1,0,1,1,2,5,2,2,2,2,2,3,0,1,1,1,2,1,4,3,2,7,1,3,2,3,1,3,1,2,1,1,0,1,0,1,2,6,2,4,2,3,2,2,2,4,3,0,0,0,0,0
917035:0,0,0,1,0,3,2,2,4,0,3,2,0,3,2,1,0,2,2,3,3,3,3,0,0,1,5,4,0,2,3,2,3,2,1,4,3,2,3,1,1,1,2,3,1,0,3,1,3,4,2,3,1,7,3,3,2,1,3,2,3,4,2,0,0,0,0
16931:0,1,8,9,4,8,7,16,14,5,11,4,7,10,8,11,5,6,3,13,18,10,9,12,6,12,13,10,6,7,5,9,9,9,7,11,7,9,10,8,9,10,5,5,7,6,7,7,14,13,8,5,10,17,10,16,4,10,9,10,6,13,0,0,0,0,0
917430:0,0,5,9,7,14,16,6,10,10,22,14,6,13,14,9,11,7,15,12,14,14,15,9,9,13,14,6,11,16,10,12,8,10,15,12,18,12,9,9,11,17,15,11,10,10,4,10,17,10,23,17,13,13,16,14,10,16,11,16,13,10,4,4,1,0,0
17528:0,0,7,5,13,16,13,16,11,13,22,16,12,15,16,15,14,11,16,13,16,17,16,17,11,21,14,12,13,25,16,8,16,10,17,17,13,14,17,18,13,9,9,11,12,11,19,12,21,18,18,10,20,13,14,13,23,23,12,16,12,17,18,4,2,0,0
917429:0,0,5,6,2,9,8,7,6,12,11,11,2,9,9,10,7,8,9,8,9,9,11,14,12,6,9,6,9,7,9,4,6,6,10,12,8,9,7,8,13,4,4,4,7,9,1,6,9,7,9,4,11,6,9,8,6,9,6,16,3,10,4,2,2,0,0
17102:0,0,4,7,10,11,4,5,5,9,7,6,4,5,8,7,9,6,8,4,4,6,4,4,5,3,6,6,9,6,6,4,6,8,9,2,4,8,6,4,2,4,10,6,4,8,14,8,4,11,4,3,7,9,3,12,7,4,9,6,6,4,2,3,0,0,0
17523:0,0,3,7,13,9,12,5,2,11,17,10,11,12,5,6,10,14,16,11,12,5,10,10,13,8,4,4,10,7,10,9,12,11,6,8,7,12,11,6,6,8,13,7,5,13,4,11,13,9,9,8,9,9,9,8,5,10,9,12,8,13,9,3,0,0,0
17989:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917069:0,0,2,1,2,0,4,3,0,2,4,1,1,3,2,4,1,1,4,1,4,0,0,2,0,0,1,0,2,4,1,0,2,0,1,0,2,4,1,1,3,0,5,0,2,2,1,2,1,2,0,1,0,4,1,1,1,2,0,2,1,2,0,0,0,0,0
917432:0,0,3,15,17,23,20,22,18,18,21,23,23,18,17,23,19,26,25,24,21,18,20,27,18,27,15,19,14,18,22,19,21,25,20,21,18,21,19,20,22,17,21,12,16,17,25,24,20,30,21,20,13,26,19,24,18,25,17,16,23,22,25,15,2,0,0
17622:0,0,2,6,10,11,5,5,7,8,4,9,6,8,5,7,5,3,5,4,9,5,5,5,5,8,4,4,6,9,7,4,4,5,7,6,7,4,8,7,9,2,7,4,4,4,5,3,11,11,5,5,5,8,11,5,10,7,9,7,7,11,7,2,0,0,0
917778:0,0,0,5,2,4,3,2,0,5,2,2,1,4,5,2,5,3,2,3,6,2,3,3,0,2,2,5,5,1,4,2,0,1,4,1,0,0,1,5,2,1,0,4,7,2,1,2,2,1,0,3,0,2,5,4,1,2,3,4,0,3,0,0,0,0,0
916927:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917592:0,0,3,0,3,6,1,3,6,3,4,1,2,3,1,7,0,4,2,4,2,3,3,3,3,2,5,4,1,5,3,3,3,4,5,0,3,2,0,6,5,2,2,3,2,4,5,2,3,3,9,5,1,2,3,5,1,1,3,7,5,1,2,1,0,0,0
917519:0,0,6,12,12,9,7,7,7,9,5,12,4,16,8,6,5,11,10,1,6,7,9,9,4,12,6,13,9,11,11,8,5,10,12,12,12,4,6,9,8,4,10,8,9,8,5,10,10,6,10,5,12,5,5,5,8,11,4,8,1,9,5,1,0,0,0
917085:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917086:0,0,1,0,4,2,0,3,2,2,3,5,2,2,3,2,0,2,0,1,0,2,3,2,3,1,2,0,3,0,0,0,2,2,1,1,5,1,2,2,3,1,2,0,1,0,1,0,1,3,2,3,3,6,6,2,2,4,2,1,3,2,1,1,1,0,0
917601:0,0,2,4,10,5,8,5,6,5,7,8,2,2,7,5,7,9,5,9,4,8,7,6,7,6,3,9,7,11,4,7,3,6,4,9,10,6,6,5,8,10,7,4,5,5,6,13,8,10,7,13,11,10,8,13,5,6,7,5,6,7,7,4,0,0,0
17655:0,0,3,6,5,6,10,2,7,5,4,10,10,4,4,10,5,6,4,5,1,8,12,3,8,5,6,4,14,8,2,4,7,9,10,7,8,6,5,9,4,4,6,3,7,4,4,4,5,4,5,8,6,3,10,3,1,8,9,5,9,5,1,1,1,0,0
917604:0,0,0,2,2,0,1,2,0,0,0,0,0,1,1,0,0,2,0,0,3,0,0,0,1,1,0,2,1,2,0,0,1,0,0,0,1,1,2,1,0,1,1,0,1,0,1,2,0,1,0,2,1,2,1,2,1,0,1,2,1,4,2,1,0,0,0
917605:0,0,1,3,2,0,2,3,1,1,2,1,1,2,2,0,5,1,4,1,7,1,1,0,3,1,2,4,4,1,3,4,5,0,3,7,6,3,2,4,4,2,1,1,3,1,2,4,3,0,3,6,3,3,3,5,2,3,0,2,3,4,3,1,1,0,0
917606:0,0,0,1,4,1,2,1,0,1,2,0,0,2,2,1,1,4,1,2,1,1,0,2,2,2,1,2,2,3,0,3,1,3,0,0,1,1,1,3,2,2,0,0,0,2,2,1,0,2,1,2,3,1,3,1,3,1,2,2,2,3,2,3,0,0,0
917607:0,0,0,0,1,2,2,0,0,3,1,0,0,1,2,1,4,0,0,2,0,1,3,1,0,1,1,3,0,1,2,2,1,2,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,3,1,1,2,0,3,0,1,2,1,0,0,0,4,0,0,0,0
917097:0,0,6,3,2,3,3,1,1,5,5,2,0,1,4,6,5,0,2,3,3,3,2,1,3,5,2,4,3,4,2,5,2,10,1,1,2,2,1,1,1,1,3,1,2,3,5,3,7,3,2,2,3,1,2,3,4,4,3,3,3,4,0,0,0,0,0
17515:0,0,1,2,5,2,8,4,7,4,6,3,4,2,2,6,2,5,0,3,2,6,4,4,7,3,5,2,4,5,5,1,7,2,5,7,4,5,6,5,7,3,4,7,6,5,5,6,6,4,1,3,4,4,4,7,8,5,7,6,5,4,3,2,1,1,0
917100:0,0,5,2,8,8,10,1,6,8,6,10,2,6,7,6,7,4,8,4,6,4,4,6,9,9,7,8,7,8,9,7,9,14,5,0,2,5,6,8,2,3,6,10,2,9,10,10,11,10,6,4,2,5,2,6,9,4,5,6,8,10,3,0,0,0,0
917101:0,0,4,3,5,8,11,2,5,9,3,7,5,3,7,6,10,3,5,9,7,6,8,2,9,9,9,7,6,11,11,11,7,15,10,4,4,5,7,11,5,6,7,17,2,5,7,8,17,9,7,7,3,6,7,2,9,2,3,10,10,9,4,1,0,0,0
917103:0,0,4,6,4,7,13,14,15,14,11,10,12,6,6,11,14,15,13,9,15,12,8,14,14,9,10,16,9,11,10,11,9,11,14,11,6,6,9,10,12,6,12,12,13,9,8,16,15,10,12,9,9,7,11,8,12,4,10,5,13,9,18,16,9,1,0
917104:0,0,1,2,3,7,12,1,6,8,1,5,4,4,6,6,10,5,1,10,8,6,4,5,2,4,9,6,6,7,12,7,7,4,12,9,2,5,7,11,5,4,7,17,6,4,5,8,6,12,8,10,4,7,8,4,7,6,2,9,5,13,3,1,0,0,0
17521:0,0,1,10,15,6,4,6,6,8,6,8,8,7,5,6,3,4,5,6,6,9,6,6,7,6,2,5,6,9,7,8,8,6,7,6,10,4,10,10,7,2,6,6,2,7,6,9,10,10,9,6,5,8,12,7,13,9,10,9,8,9,5,3,1,0,0
17522:0,0,3,4,4,5,6,1,3,7,9,5,5,5,3,4,9,12,7,5,3,4,6,6,11,5,3,5,7,5,7,4,7,4,2,3,7,9,4,4,5,4,7,6,5,7,7,7,8,4,4,3,6,7,5,4,5,5,3,5,4,11,7,1,0,0,0
917107:0,0,1,2,7,5,3,9,4,4,3,6,7,9,7,10,9,6,6,13,7,6,5,7,7,6,12,9,6,5,7,10,10,6,9,10,8,8,5,5,7,4,10,10,10,7,5,3,6,11,7,9,9,6,7,7,10,8,9,4,6,8,7,3,2,1,0
917108:0,0,1,2,2,3,0,3,3,2,4,1,2,3,0,1,2,2,5,3,4,3,1,5,4,1,5,3,1,3,5,2,3,2,3,2,2,2,5,0,2,3,6,5,2,3,2,1,4,4,3,5,3,4,3,1,6,2,2,1,4,7,2,0,0,0,0
917109:0,0,1,1,0,1,0,1,0,1,4,3,1,1,1,2,1,0,4,1,2,3,4,2,3,0,0,2,3,3,3,2,2,0,2,2,0,2,2,1,2,2,3,1,2,1,3,1,4,4,1,2,3,4,4,3,1,1,1,1,3,2,2,1,0,0,0
