link_id,lane_type,cycle_length,green_start_time,end_time
917113,t,64,1,36
917113,tr,64,1,36
17086,l,64,37,64
17086,t,64,37,64
917155,t,64,37,64
917155,tr,64,37,64
17144,t,86,1,40
17155,t,86,41,86
17155,tr,86,41,86
917221,t,86,41,86
917221,lt,86,41,86
17221,lt,96,1,29
917302,lt,96,1,29
17221,t,62,10,29
17221,tr,62,10,29
917302,t,62,10,29
917302,tr,62,10,29
17211,l,62,30,62
917243,l,62,30,62
17211,t,62,40,62
17211,tr,62,40,62
917243,t,62,40,62
917243,tr,62,40,62
17287,l,64,1,28
17287,t,64,1,28
17287,tr,64,1,28
917421,l,64,29,64
917421,t,64,29,64
17302,t,64,39,64
17302,r,64,39,64
917442,lt,64,1,28
917442,t,64,1,28
917442,r,64,1,28
17421,l,64,29,39
17421,t,64,29,39
917515,t,64,40,64
917515,r,64,40,64
17515,lt,84,1,43
17515,t,84,1,43
17515,tr,84,1,43
917592,l,84,1,43
917592,t,84,1,43
917592,tr,84,1,43
40311,l,84,44,84
40311,t,84,44,84
40311,tr,84,44,84
917531,lt,84,44,84
917531,tr,84,44,84
17592,lt,84,1,43
17592,t,84,1,43
17592,tr,84,1,43
917716,lt,84,1,43
917716,t,84,1,43
917716,tr,84,1,43
40310,lt,84,44,84
40310,tr,84,44,84
917606,lt,84,44,84
917606,tr,84,44,84
17717,l,64,1,33
17717,t,64,1,33
17717,r,64,1,33
917714,lt,64,1,33
917714,t,64,1,33
917714,tr,64,1,33
17716,lt,64,34,64
17716,t,64,34,64
17716,tr,64,34,64
917718,lt,64,34,64
917718,t,64,34,64
917718,tr,64,34,64
17718,t,63,1,38
17718,r,63,1,38
917861,l,63,1,38
917861,t,63,1,38
917827,l,63,39,63
917827,r,63,39,63
17861,lt,82,1,42
17861,t,82,1,42
17861,tr,82,1,42
917989,lt,82,1,42
917989,t,82,1,42
917989,tr,82,1,42
17900,l,82,43,82
917899,l,82,43,82
17900,t,82,54,82
17900,tr,82,54,82
917899,r,82,54,82
17606,lt,65,1,37
17606,t,65,1,37
917604,tr,65,1,37
917607,l,65,38,65
917607,r,65,38,65
17714,l,74,1,36
17714,t,74,1,36
917712,l,74,1,36
917712,t,74,1,36
917712,tr,74,1,36
917715,lt,74,37,74
917715,tr,74,37,74
17607,lt,74,52,74
17607,tr,74,52,74
17827,l,62,1,31
17827,r,62,1,31
917825,l,62,1,31
917825,r,62,1,31
17715,lt,62,32,62
17715,tr,62,32,62
917828,lt,62,32,62
917828,tr,62,32,62
17828,l,73,1,41
17828,r,73,1,41
917898,l,73,42,56
917898,t,73,42,56
17899,t,73,57,73
17899,r,73,57,73
16938,lt,84,1,32
16938,tr,84,1,32
917086,lt,84,33,59
917086,t,84,33,59
917086,tr,84,33,59
917035,l,84,60,84
917035,t,84,60,84
917035,r,84,60,84
17062,l,63,1,30
17062,t,63,1,30
917112,t,63,31,63
917112,tr,63,31,63
17114,t,63,1,29
17173,lt,63,30,63
17173,t,63,30,63
17172,lt,74,1,31
17172,t,74,1,31
17172,tr,74,1,31
17243,l,74,32,74
17243,t,74,42,74
917242,t,74,42,74
917242,tr,74,42,74
17244,t,63,1,30
17244,r,63,1,30
17336,lt,63,31,63
17336,t,63,31,63
17376,l,67,1,33
17376,t,67,1,33
917441,t,67,34,67
917441,r,67,34,67
17443,lt,67,1,30
17443,tr,67,1,30
17531,lt,67,31,67
17531,tr,67,31,67
917530,t,67,31,67
917530,tr,67,31,67
17532,lt,69,1,39
17532,tr,69,1,39
917605,lt,69,1,39
917605,tr,69,1,39
17604,lt,69,40,69
17605,lt,79,1,18
17605,tr,79,1,18
917713,lt,79,19,35
917713,tr,79,19,35
17712,lt,79,35,79
17712,t,79,35,79
17712,r,79,35,79
917710,lt,79,35,79
917710,t,79,35,79
917710,tr,79,35,79
17713,lt,72,1,32
17713,tr,72,1,32
917826,lt,72,1,32
917826,t,72,1,32
917826,tr,72,1,32
17825,ltr,72,33,72
917823,ltr,72,33,72
17826,l,72,1,32
17826,r,72,1,32
17898,l,72,33,72
917896,l,72,33,72
17898,t,72,44,72
17898,r,72,44,72
917896,t,72,44,72
917111,l,71,1,31
917111,t,71,1,31
917111,tr,71,1,31
17035,t,71,41,71
17035,r,71,41,71
917025,l,71,32,71
917025,t,71,41,71
917169,t,67,1,37
917169,r,67,1,37
917109,lt,67,37,67
917109,t,67,37,67
17171,t,68,1,36
17171,tr,68,1,36
917241,t,69,36,69
917241,l,69,36,69
917332,lt,62,1,32
917332,t,62,1,32
917332,tr,62,1,32
17242,t,62,33,62
17242,tr,62,33,62
917239,l,62,33,62
917239,t,62,33,62
17334,t,64,1,28
17334,tr,64,1,28
917440,l,64,29,64
917440,t,64,29,64
917438,lt,63,1,33
917438,t,63,1,33
917438,tr,63,1,33
917529,t,63,34,63
917529,r,63,34,63
17530,t,65,1,35
17530,tr,65,1,35
917527,lt,65,1,35
917527,t,65,1,35
917601,l,65,36,65
917601,t,65,36,65
917601,tr,65,36,65
917709,l,53,1,28
917709,t,53,1,28
17603,t,53,29,53
17603,tr,53,29,53
17710,l,74,1,37
17710,t,74,1,37
17710,r,74,1,37
917708,lt,74,1,37
917708,t,74,1,37
917708,tr,74,1,37
917711,lt,74,38,74
917711,tr,74,38,74
17711,lt,72,1,39
17711,t,72,1,39
917824,t,72,1,39
917824,t,72,1,39
17823,l,72,40,72
17823,r,72,40,72
17824,lt,69,1,35
17824,tr,69,1,35
917897,lt,69,1,35
917897,tr,69,1,35
17896,l,69,36,69
17896,t,69,36,69
17896,tr,69,36,69
917893,lt,69,36,69
917893,t,69,36,69
917893,tr,69,36,69
17025,l,65,1,29
17025,t,65,1,29
917022,lt,65,1,29
917022,tr,65,1,29
16935,l,65,30,65
16935,t,65,30,65
16935,tr,65,30,65
917108,t,67,1,32
917108,tr,67,1,32
17059,t,67,33,67
17059,l,67,33,67
17170,lt,65,1,33
17170,t,65,1,33
17110,t,65,34,65
17110,r,65,34,65
17168,lt,72,1,35
17168,t,72,1,35
17168,tr,72,1,35
17239,l,72,36,72
17239,t,72,36,72
917238,t,72,36,72
917238,r,72,36,72
17333,l,70,1,35
17333,t,70,1,35
17240,t,70,36,70
17240,r,70,36,70
17331,l,69,1,33
17331,t,69,1,33
917437,t,69,34,69
917437,t,69,34,69
17439,lt,67,1,34
17439,t,67,1,34
17439,tr,67,1,34
17527,lt,67,35,67
17527,t,67,35,67
917526,t,67,35,67
917526,tr,67,35,67
17528,t,69,1,32
17528,tr,69,1,32
17602,lt,69,33,69
17602,t,69,33,69
17708,t,63,1,36
917706,t,63,1,36
17600,l,63,37,63
17600,r,63,37,63
17022,t,65,1,35
17022,tr,65,1,35
917021,lt,65,1,35
917021,t,65,1,35
917107,lt,65,36,65
917107,t,65,36,65
917107,tr,65,36,65
917165,t,67,1,33
917165,tr,67,1,33
917105,lt,67,34,67
917105,t,67,34,67
917237,lt,67,1,30
917237,t,67,1,30
17167,t,67,31,67
17167,tr,67,31,67
917328,lt,67,1,33
917328,t,67,1,33
917328,tr,67,1,33
17238,t,67,34,67
17238,tr,67,34,67
917235,lt,67,34,67
917235,t,67,34,67
917436,lt,67,1,33
917436,t,67,1,33
17330,t,67,34,67
17330,tr,67,34,67
917525,t,66,1,30
917525,tr,66,1,30
917434,lt,66,31,66
917434,t,66,31,66
917627,lt,67,1,34
917627,t,67,1,34
917627,tr,67,1,34
17526,t,67,35,67
17526,tr,67,35,67
917522,lt,67,35,67
917522,t,67,35,67
917705,lt,67,1,33
917705,t,67,1,33
17599,t,67,34,67
17599,tr,67,34,67
17706,t,43,12,43
17706,r,43,12,43
917707,t,43,12,43
917707,l,43,1,43
17021,lt,66,1,30
17021,t,66,1,30
917018,lt,66,1,30
917018,tr,66,1,30
16931,lt,66,31,66
16931,t,66,31,66
16931,tr,66,31,66
917104,t,66,1,30
917104,tr,66,1,30
17055,lt,66,31,66
17055,t,66,31,66
17166,lt,66,1,33
17166,t,66,1,33
17106,t,66,34,66
17106,tr,66,34,66
17235,lt,66,1,37
17235,t,66,1,37
917234,t,66,1,37
917234,tr,66,1,37
17164,lt,66,38,66
17164,t,66,38,66
17164,tr,66,38,66
17329,lt,66,1,33
17329,t,66,1,33
17236,t,66,34,66
17236,tr,66,34,66
917433,t,72,1,39
917433,tr,72,1,39
17327,lt,72,40,72
17327,t,72,40,72
17435,lt,67,1,30
17435,t,67,1,30
17435,tr,67,1,30
17522,lt,67,31,67
17522,t,67,31,67
917523,t,67,31,67
917523,tr,67,31,67
17628,lt,66,1,31
17628,t,66,1,31
17524,t,66,32,66
17524,tr,66,32,66
17626,lt,79,1,32
17626,t,79,1,32
17626,tr,79,1,32
917895,l,79,1,32
917895,r,79,1,32
17707,l,79,33,79
17707,t,79,33,79
917754,t,79,33,79
917754,tr,79,33,79
17895,lt,69,1,31
17895,tr,69,1,31
17893,lt,69,32,69
17893,t,69,32,69
17893,tr,69,32,69
917890,lt,69,32,69
917890,tr,69,32,69
917017,lt,72,1,40
917017,t,72,1,40
17018,t,72,1,40
17018,tr,72,1,40
917103,lt,72,41,72
917103,t,72,41,72
917103,tr,72,41,72
917101,lt,69,1,32
917101,t,69,1,32
917161,t,69,33,69
917161,tr,69,33,69
17163,t,69,1,33
17163,tr,69,1,33
917233,lt,69,34,69
917233,t,69,34,69
17234,t,69,1,35
17234,tr,69,1,35
917231,lt,69,1,35
917231,t,69,1,35
917324,lt,69,36,69
917324,t,69,36,69
917324,tr,69,36,69
17326,t,69,1,32
17326,tr,69,1,32
917432,lt,69,33,69
917432,t,69,33,69
917430,lt,69,1,35
917430,t,69,1,35
917546,t,69,36,69
917546,t,69,36,69
917520,lt,69,1,40
917520,t,69,1,40
17523,t,69,1,40
17523,tr,69,1,40
917623,lt,69,41,69
917623,t,69,41,69
917623,tr,69,41,69
17625,t,69,1,35
17625,tr,69,1,35
917753,lt,69,36,69
917753,lt,69,36,69
917751,l,65,1,65
917751,t,65,15,65
17754,t,65,15,65
17754,tr,65,15,65
17017,lt,68,1,38
17017,t,68,1,38
917014,lt,68,1,38
917014,t,68,1,38
917014,tr,68,1,38
16927,l,68,39,68
16927,t,68,39,68
16927,r,68,39,68
917100,t,68,1,37
917100,tr,68,1,37
17049,lt,68,38,68
17049,t,68,38,68
17162,lt,68,1,35
17162,t,68,1,35
17102,t,68,36,68
17102,tr,68,36,68
17160,lt,67,1,37
17160,t,67,1,47
17231,l,67,48,67
17232,t,68,1,36
17232,tr,68,1,36
17325,lt,68,37,68
17325,t,68,37,68
17323,t,68,1,35
17323,lt,68,1,35
917429,t,68,36,68
917429,tr,68,36,68
17431,lt,68,1,30
17431,t,68,1,30
17431,tr,68,1,30
17520,lt,68,31,68
17520,t,68,31,68
917519,t,68,31,68
917519,tr,68,31,68
17521,t,66,1,36
17521,tr,66,1,36
17624,lt,66,37,66
17624,t,66,37,66
17751,l,72,1,40
17751,t,72,13,40
917748,t,72,13,40
917748,tr,72,13,40
17622,lt,72,40,58
17622,t,72,40,58
17622,tr,72,40,58
917752,l,72,59,72
917752,r,72,59,72
17752,l,72,1,38
17752,r,72,1,38
917892,lt,72,1,38
917892,t,72,1,38
917892,tr,72,1,38
17890,lt,72,39,72
17890,lt,72,39,72
17890,lt,72,39,72
917891,lt,72,39,72
917891,t,72,39,72
917891,tr,72,39,72
17014,t,65,1,31
17014,tr,65,1,31
917069,t,65,1,31
917099,lt,65,32,65
917099,t,65,32,65
917099,tr,65,32,65
917157,t,65,1,32
917157,tr,65,1,32
917097,l,65,33,65
917097,t,65,33,65
17159,t,65,1,33
17159,tr,65,1,33
917320,lt,65,34,65
917320,lt,65,34,65
17322,t,67,1,33
17322,tr,67,1,33
917428,lt,67,34,67
917428,t,67,34,67
917471,lt,67,1,32
917471,t,67,1,32
917545,t,67,33,67
917545,tr,67,33,67
17519,t,67,1,39
17519,tr,67,1,39
917543,lt,67,1,39
917543,t,67,1,39
917619,lt,67,40,67
917619,tr,67,40,67
17621,t,67,1,30
17621,tr,67,1,30
917747,lt,67,31,67
917747,t,67,31,67
917749,lt,67,1,36
917749,t,67,1,36
17748,t,67,37,67
17748,tr,67,37,67
917184,l,72,1,52
917184,t,72,12,52
17183,t,72,12,52
17183,r,72,12,52
17158,lt,72,53,72
17158,tr,72,53,72
917355,l,72,1,48
917355,t,72,13,48
17184,t,72,13,48
17184,r,72,13,48
17321,lt,72,49,72
17321,t,72,49,72
17321,tr,72,49,72
17355,l,72,1,12
17355,t,72,13,49
917472,t,72,13,49
917472,r,72,13,49
917469,lt,72,50,72
917469,t,72,50,72
917469,tr,72,50,72
17543,lt,72,10,36
17543,tr,72,10,36
917541,l,72,1,9
917541,t,72,10,36
917541,tr,72,10,36
17472,l,72,37,72
17472,t,72,47,72
17472,tr,72,47,72
917544,lt,72,47,72
917544,t,72,47,72
917544,tr,72,47,72
17544,t,72,1,40
17544,tr,72,1,40
917655,lt,72,1,40
917655,t,72,1,40
17620,lt,72,41,72
17620,tr,72,41,72
17749,lt,69,1,39
17749,t,69,1,39
17749,tr,69,1,39
917778,lt,69,1,39
917778,t,69,1,39
917778,tr,69,1,39
17655,lt,69,40,69
17655,t,69,40,69
17655,tr,69,40,69
917780,lt,69,40,69
917780,t,69,40,69
917780,tr,69,40,69
17780,l,69,1,30
17780,r,69,1,30
17891,t,69,31,69
17891,tr,69,31,69
917917,lt,69,31,69
917917,t,69,31,69
